#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.717	1.074	0.688	0.640	0.000	0.950
1	0.154	1.290	1.434	0.281	0.936	1.000	0.534
2	1.000	1.301	1.339	0.636	0.643	0.000	0.633
3	0.211	1.085	1.192	0.898	0.804	1.000	0.845
4	0.393	0.717	1.044	0.979	0.840	1.000	0.593
5	0.193	0.584	1.150	0.930	0.555	1.000	0.000
6	1.000	1.214	1.460	0.379	0.897	0.000	0.611
7	0.224	1.045	1.318	0.963	0.902	1.000	0.855
8	1.000	1.208	1.172	0.880	0.615	0.000	0.593
9	0.234	0.730	1.025	0.555	0.826	1.000	0.507
#From	To	chi[to]	beta[fr]	lambda
0	3	0.500	0.166	1.000
0	5	0.097	0.047	1.000
0	7	0.011	0.382	1.000
0	9	0.606	0.404	1.000
1	3	0.329	0.318	1.000
1	5	0.151	0.464	1.000
1	7	0.340	0.218	1.000
2	4	1.000	0.315	1.000
2	7	0.106	0.685	1.000
3	5	0.103	0.598	1.000
3	9	0.072	0.402	1.000
4	1	1.000	0.672	1.000
4	5	0.095	0.128	1.000
4	7	0.195	0.201	1.000
5	5	0.170	1.000	1.000
6	5	0.088	1.000	1.000
7	5	0.166	1.000	1.000
8	3	0.171	0.436	1.000
8	5	0.080	0.431	1.000
8	7	0.348	0.065	1.000
8	9	0.322	0.068	1.000
9	5	0.049	1.000	1.000
