#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.355	1.056	0.571	0.638	0.000	0.662
1	0.393	1.063	1.044	0.372	0.742	1.000	0.604
2	1.000	1.223	1.290	0.124	0.807	0.000	0.538
3	0.316	0.542	1.304	0.230	0.679	1.000	0.000
4	1.000	1.453	1.131	0.177	0.553	0.000	0.572
5	0.307	0.745	1.388	0.009	0.818	1.000	0.916
6	0.362	1.466	1.448	0.921	0.583	1.000	0.998
7	1.000	0.781	1.148	0.054	0.712	0.000	0.798
8	0.627	0.781	1.305	0.048	0.528	1.000	0.688
9	1.000	0.771	1.073	0.414	0.532	0.000	0.563
#From	To	chi[to]	beta[fr]	lambda
0	3	0.107	0.311	1.000
0	5	0.069	0.048	1.000
0	8	0.486	0.641	1.000
1	5	0.140	1.000	1.000
2	3	0.114	1.000	1.000
3	3	0.026	1.000	1.000
4	1	1.000	1.000	1.000
5	3	0.136	0.317	1.000
5	5	0.150	0.162	1.000
5	6	0.338	0.520	1.000
6	3	0.125	0.297	1.000
6	5	0.032	0.455	1.000
6	6	0.601	0.248	1.000
7	3	0.252	1.000	1.000
8	3	0.007	0.220	1.000
8	5	0.191	0.582	1.000
8	8	0.514	0.198	1.000
9	3	0.233	0.406	1.000
9	5	0.418	0.060	1.000
9	6	0.061	0.533	1.000
