#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.269	1.263	0.193	0.668	0.000	0.924
1	0.313	1.033	1.328	0.186	0.729	1.000	0.000
2	0.536	0.624	1.223	0.080	0.953	1.000	0.590
3	1.000	1.054	1.342	0.269	0.589	0.000	0.702
4	1.000	0.967	1.427	0.357	0.977	0.000	0.692
5	1.000	0.531	1.143	0.969	0.648	0.000	0.692
6	0.393	0.569	1.043	0.682	0.977	1.000	0.502
7	1.000	0.909	1.281	0.253	0.712	0.000	0.902
8	1.000	1.242	1.288	0.278	0.630	0.000	0.909
9	0.319	1.294	1.392	0.865	0.917	1.000	0.947
#From	To	chi[to]	beta[fr]	lambda
0	6	0.677	1.000	1.000
1	1	0.189	1.000	1.000
2	2	0.458	0.365	1.000
2	9	0.438	0.635	1.000
3	2	0.179	0.043	1.000
3	9	0.391	0.957	1.000
4	6	0.323	1.000	1.000
5	1	0.117	1.000	1.000
6	1	0.105	1.000	1.000
7	1	0.259	1.000	1.000
8	2	0.363	0.252	1.000
8	9	0.171	0.748	1.000
9	1	0.330	1.000	1.000
