#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.154	1.219	1.179	0.920	0.871	1.000	0.985
1	0.246	1.305	1.168	0.537	0.791	1.000	0.921
2	0.097	0.767	1.206	0.956	0.582	1.000	0.000
3	1.000	0.583	1.302	0.040	0.772	0.000	0.830
4	0.122	1.463	1.028	0.539	0.896	1.000	0.000
5	0.097	1.072	1.220	0.994	0.897	1.000	0.000
6	0.246	1.011	1.310	0.005	0.717	1.000	0.871
7	0.393	1.375	1.478	0.672	0.787	1.000	0.581
8	0.097	0.924	1.148	0.324	0.540	1.000	0.000
9	1.000	1.472	1.016	0.774	0.670	0.000	0.961
#From	To	chi[to]	beta[fr]	lambda
0	4	0.177	1.000	1.000
1	4	0.216	0.568	1.000
1	5	1.000	0.432	1.000
3	1	0.815	0.183	1.000
3	6	0.431	0.370	1.000
3	7	1.000	0.447	1.000
6	2	1.000	0.471	1.000
6	4	0.263	0.408	1.000
6	8	1.000	0.121	1.000
7	0	1.000	0.728	1.000
7	1	0.185	0.070	1.000
7	6	0.569	0.202	1.000
9	4	0.343	1.000	1.000
