#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.314	0.806	1.083	0.353	0.632	1.000	0.831
1	1.000	1.350	1.204	0.946	0.504	0.000	0.921
2	0.187	1.033	1.062	0.766	0.817	1.000	0.000
3	1.000	0.998	1.372	0.323	0.545	0.000	0.643
4	0.326	1.392	1.253	0.825	0.619	1.000	0.612
5	1.000	0.685	1.176	0.036	0.966	0.000	0.969
6	0.288	0.985	1.419	0.869	0.562	1.000	0.939
7	1.000	1.391	1.167	0.285	0.677	0.000	0.537
8	0.393	1.446	1.342	0.889	0.540	1.000	0.564
9	1.000	0.561	1.021	0.452	0.529	0.000	0.946
#From	To	chi[to]	beta[fr]	lambda
0	0	0.139	0.455	1.000
0	2	0.122	0.545	1.000
1	4	0.245	1.000	1.000
3	4	0.212	1.000	1.000
4	0	0.188	0.462	1.000
4	2	0.206	0.538	1.000
5	0	0.235	0.644	1.000
5	2	0.220	0.356	1.000
6	2	0.085	1.000	1.000
7	0	0.201	0.278	1.000
7	2	0.237	0.283	1.000
7	4	0.127	0.412	1.000
7	6	0.614	0.027	1.000
8	0	0.237	0.333	1.000
8	2	0.130	0.122	1.000
8	4	0.138	0.227	1.000
8	6	0.339	0.318	1.000
9	4	0.278	0.621	1.000
9	6	0.047	0.095	1.000
9	8	1.000	0.284	1.000
