#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.802	1.430	0.278	0.501	0.000	0.852
1	0.393	1.215	1.290	0.311	0.722	1.000	0.738
2	0.195	1.345	1.452	0.762	0.739	1.000	0.603
3	1.000	0.872	1.311	0.731	0.650	0.000	0.694
4	1.000	1.433	1.006	0.828	0.998	0.000	0.614
5	0.077	1.263	1.337	0.510	0.665	1.000	0.566
6	0.393	0.715	1.093	0.960	0.575	1.000	0.723
7	0.184	1.116	1.372	0.747	0.705	1.000	0.000
8	0.393	1.156	1.466	0.970	0.979	1.000	0.566
9	1.000	1.031	1.300	0.924	0.587	0.000	0.947
#From	To	chi[to]	beta[fr]	lambda
0	6	0.659	0.456	1.000
0	8	1.000	0.544	1.000
1	1	0.347	0.397	1.000
1	2	0.198	0.196	1.000
1	7	0.183	0.407	1.000
2	2	0.160	0.450	1.000
2	5	1.000	0.287	1.000
2	7	0.112	0.263	1.000
3	6	0.341	1.000	1.000
4	2	0.203	0.370	1.000
4	7	0.046	0.630	1.000
5	2	0.140	0.760	1.000
5	7	0.152	0.240	1.000
6	1	0.653	0.145	1.000
6	2	0.300	0.708	1.000
6	7	0.182	0.147	1.000
7	7	0.012	1.000	1.000
8	7	0.172	1.000	1.000
9	7	0.141	1.000	1.000
