#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.639	1.084	0.873	0.544	0.000	0.512
1	0.154	1.258	1.323	0.046	0.930	1.000	0.557
2	1.000	1.249	1.282	0.764	0.801	0.000	0.672
3	0.211	0.584	1.068	0.675	0.523	1.000	0.919
4	0.393	0.725	1.478	0.019	0.708	1.000	0.590
5	0.193	1.198	1.330	0.299	0.569	1.000	0.000
6	1.000	1.002	1.480	0.748	0.842	0.000	0.906
7	0.224	0.858	1.179	0.873	0.635	1.000	0.675
8	1.000	0.968	1.367	0.494	0.874	0.000	0.827
9	0.234	0.763	1.325	0.887	0.515	1.000	0.822
#From	To	chi[to]	beta[fr]	lambda
0	3	0.433	0.324	1.000
0	5	0.073	0.272	1.000
0	7	0.264	0.344	1.000
0	9	0.208	0.059	1.000
1	3	0.265	0.468	1.000
1	5	0.149	0.092	1.000
1	7	0.198	0.440	1.000
2	4	1.000	0.761	1.000
2	7	0.186	0.239	1.000
3	5	0.037	0.358	1.000
3	9	0.549	0.642	1.000
4	1	1.000	0.472	1.000
4	5	0.140	0.209	1.000
4	7	0.075	0.320	1.000
5	5	0.126	1.000	1.000
6	5	0.162	1.000	1.000
7	5	0.124	1.000	1.000
8	3	0.302	0.510	1.000
8	5	0.055	0.058	1.000
8	7	0.277	0.124	1.000
8	9	0.243	0.308	1.000
9	5	0.134	1.000	1.000
