#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.336	1.288	1.015	0.897	0.548	1.000	0.698
1	1.000	0.736	1.139	0.698	0.614	0.000	0.720
2	1.000	0.933	1.482	0.076	0.653	0.000	0.785
3	0.288	1.358	1.288	0.875	0.641	1.000	0.000
4	1.000	0.811	1.241	0.021	0.966	0.000	0.697
5	0.211	1.307	1.272	0.444	0.586	1.000	0.927
6	0.393	1.436	1.285	0.099	0.509	1.000	0.772
7	0.393	0.644	1.441	0.688	0.835	1.000	0.000
8	1.000	0.606	1.428	0.455	0.710	0.000	0.829
9	0.246	1.181	1.063	0.476	0.530	1.000	0.962
#From	To	chi[to]	beta[fr]	lambda
0	0	0.736	0.399	1.000
0	5	0.193	0.601	1.000
1	0	0.211	0.727	1.000
1	5	0.277	0.273	1.000
2	9	0.065	1.000	1.000
3	3	0.883	1.000	1.000
4	5	0.244	1.000	1.000
5	3	0.117	1.000	1.000
6	9	0.935	1.000	1.000
8	6	1.000	0.468	1.000
8	7	1.000	0.532	1.000
9	0	0.054	0.665	1.000
9	5	0.285	0.335	1.000
