#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.336	1.086	1.090	0.427	0.575	1.000	0.934
1	1.000	1.320	1.171	0.811	0.704	0.000	0.588
2	1.000	1.213	1.480	0.019	0.530	0.000	0.932
3	0.288	1.208	1.274	0.679	0.669	1.000	0.000
4	1.000	1.497	1.229	0.715	0.938	0.000	0.677
5	0.211	1.031	1.283	0.148	0.564	1.000	0.681
6	0.393	0.592	1.102	0.525	0.759	1.000	0.694
7	0.393	1.069	1.257	0.437	0.567	1.000	0.000
8	1.000	0.747	1.275	0.766	0.960	0.000	0.575
9	0.246	1.009	1.096	0.545	0.825	1.000	0.697
#From	To	chi[to]	beta[fr]	lambda
0	0	0.352	0.501	1.000
0	5	0.408	0.499	1.000
1	0	0.468	0.889	1.000
1	5	0.467	0.111	1.000
2	9	0.916	1.000	1.000
3	3	0.414	1.000	1.000
4	5	0.021	1.000	1.000
5	3	0.586	1.000	1.000
6	9	0.084	1.000	1.000
8	6	1.000	0.503	1.000
8	7	1.000	0.497	1.000
9	0	0.180	0.525	1.000
9	5	0.104	0.475	1.000
