#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.963	1.167	0.257	0.596	0.000	0.923
1	1.000	0.942	1.090	0.174	0.895	0.000	0.520
2	0.275	1.268	1.096	0.587	0.924	1.000	0.000
3	0.230	0.812	1.360	0.082	0.802	1.000	0.603
4	0.135	0.632	1.297	0.132	0.655	1.000	0.948
5	0.263	1.084	1.437	0.693	0.678	1.000	0.000
6	0.344	0.651	1.286	0.574	0.887	1.000	0.866
7	0.169	0.689	1.271	0.018	0.592	1.000	0.000
8	1.000	1.490	1.186	0.857	0.823	0.000	0.916
9	0.135	0.906	1.267	0.280	0.570	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	5	0.339	0.408	1.000
0	6	0.072	0.046	1.000
0	7	0.415	0.546	1.000
1	2	0.669	1.000	1.000
2	2	0.262	1.000	1.000
3	5	0.076	0.273	1.000
3	6	0.107	0.628	1.000
3	7	0.131	0.099	1.000
4	2	0.069	1.000	1.000
5	5	0.127	1.000	1.000
6	3	0.679	0.040	1.000
6	4	1.000	0.029	1.000
6	5	0.458	0.220	1.000
6	6	0.381	0.224	1.000
6	7	0.454	0.194	1.000
6	9	1.000	0.294	1.000
8	3	0.321	0.491	1.000
8	6	0.440	0.509	1.000
