#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.997	1.328	0.057	0.680	0.000	0.926
1	0.154	1.336	1.416	0.767	0.594	1.000	0.619
2	1.000	0.785	1.024	0.193	0.873	0.000	0.887
3	0.211	1.389	1.092	0.324	0.539	1.000	0.865
4	0.393	1.404	1.169	0.352	0.704	1.000	0.617
5	0.193	0.583	1.329	0.120	0.979	1.000	0.000
6	1.000	0.621	1.143	0.594	0.954	0.000	0.729
7	0.224	0.641	1.205	0.233	0.526	1.000	0.532
8	1.000	0.681	1.180	0.507	0.890	0.000	0.864
9	0.234	0.816	1.035	0.211	0.662	1.000	0.791
#From	To	chi[to]	beta[fr]	lambda
0	3	0.237	0.328	1.000
0	5	0.065	0.156	1.000
0	7	0.200	0.125	1.000
0	9	0.540	0.392	1.000
1	3	0.482	0.303	1.000
1	5	0.133	0.490	1.000
1	7	0.173	0.207	1.000
2	4	1.000	0.472	1.000
2	7	0.122	0.528	1.000
3	5	0.012	0.617	1.000
3	9	0.122	0.383	1.000
4	1	1.000	0.184	1.000
4	5	0.154	0.210	1.000
4	7	0.198	0.606	1.000
5	5	0.169	1.000	1.000
6	5	0.089	1.000	1.000
7	5	0.152	1.000	1.000
8	3	0.281	0.123	1.000
8	5	0.130	0.342	1.000
8	7	0.307	0.363	1.000
8	9	0.338	0.173	1.000
9	5	0.096	1.000	1.000
