#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.363	1.014	0.304	0.947	0.000	0.976
1	0.154	0.910	1.058	0.234	0.964	1.000	0.565
2	1.000	0.743	1.145	0.743	0.848	0.000	0.823
3	0.211	0.533	1.016	0.068	0.727	1.000	0.719
4	0.393	1.278	1.088	0.064	0.815	1.000	0.817
5	0.193	0.907	1.198	0.030	0.566	1.000	0.000
6	1.000	0.896	1.033	0.535	0.719	0.000	0.763
7	0.224	1.147	1.246	0.571	0.757	1.000	0.893
8	1.000	0.804	1.325	0.078	0.981	0.000	0.960
9	0.234	0.905	1.004	0.947	0.916	1.000	0.585
#From	To	chi[to]	beta[fr]	lambda
0	3	0.401	0.266	1.000
0	5	0.021	0.073	1.000
0	7	0.181	0.421	1.000
0	9	0.382	0.240	1.000
1	3	0.215	0.107	1.000
1	5	0.151	0.414	1.000
1	7	0.161	0.479	1.000
2	4	1.000	0.038	1.000
2	7	0.080	0.962	1.000
3	5	0.039	0.035	1.000
3	9	0.425	0.965	1.000
4	1	1.000	0.289	1.000
4	5	0.092	0.446	1.000
4	7	0.440	0.266	1.000
5	5	0.163	1.000	1.000
6	5	0.239	1.000	1.000
7	5	0.060	1.000	1.000
8	3	0.385	0.279	1.000
8	5	0.204	0.285	1.000
8	7	0.138	0.329	1.000
8	9	0.192	0.108	1.000
9	5	0.031	1.000	1.000
