#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.045	1.003	0.286	0.973	0.000	0.619
1	1.000	0.891	1.115	0.327	0.880	0.000	0.501
2	0.393	1.328	1.234	0.779	0.889	1.000	0.826
3	1.000	0.606	1.237	0.414	0.760	0.000	0.783
4	1.000	1.141	1.345	0.867	0.832	0.000	0.898
5	1.000	1.108	1.230	0.282	0.606	0.000	0.919
6	0.232	1.306	1.161	0.742	0.594	1.000	0.918
7	0.393	1.381	1.177	0.802	0.535	1.000	0.941
8	0.308	0.651	1.342	0.396	0.935	1.000	0.645
9	0.246	0.705	1.223	0.969	0.968	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	2	1.000	0.723	1.000
0	7	1.000	0.277	1.000
1	6	0.282	0.274	1.000
1	8	0.274	0.726	1.000
2	9	0.857	1.000	1.000
3	8	0.121	1.000	1.000
4	9	0.143	1.000	1.000
5	6	0.378	0.641	1.000
5	8	0.053	0.359	1.000
6	8	0.124	1.000	1.000
7	6	0.296	0.615	1.000
7	8	0.166	0.385	1.000
8	6	0.044	0.107	1.000
8	8	0.262	0.893	1.000
