#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.314	0.548	1.032	0.842	0.609	1.000	0.544
1	1.000	0.562	1.478	0.597	0.696	0.000	0.794
2	0.187	1.482	1.020	0.500	0.623	1.000	0.000
3	1.000	1.308	1.200	0.651	0.627	0.000	0.723
4	0.326	0.848	1.191	0.956	0.558	1.000	0.785
5	1.000	1.337	1.383	0.664	0.599	0.000	0.754
6	0.288	1.449	1.185	0.959	0.913	1.000	0.982
7	1.000	0.926	1.102	0.489	0.893	0.000	0.958
8	0.393	1.391	1.005	0.584	0.607	1.000	0.945
9	1.000	0.595	1.054	0.294	0.587	0.000	0.730
#From	To	chi[to]	beta[fr]	lambda
0	0	0.318	0.372	1.000
0	2	0.189	0.628	1.000
1	4	0.286	1.000	1.000
3	4	0.098	1.000	1.000
4	0	0.067	0.266	1.000
4	2	0.087	0.734	1.000
5	0	0.306	0.769	1.000
5	2	0.325	0.231	1.000
6	2	0.194	1.000	1.000
7	0	0.227	0.447	1.000
7	2	0.160	0.068	1.000
7	4	0.314	0.103	1.000
7	6	0.034	0.382	1.000
8	0	0.083	0.179	1.000
8	2	0.045	0.334	1.000
8	4	0.066	0.141	1.000
8	6	0.147	0.346	1.000
9	4	0.236	0.160	1.000
9	6	0.819	0.038	1.000
9	8	1.000	0.803	1.000
