#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.744	1.049	0.380	0.898	0.000	0.844
1	0.288	1.100	1.082	0.668	0.896	1.000	0.603
2	0.393	1.067	1.318	0.674	0.904	1.000	0.893
3	1.000	0.793	1.111	0.606	0.572	0.000	0.683
4	0.234	0.850	1.094	0.519	0.653	1.000	0.805
5	1.000	0.829	1.315	0.465	0.739	0.000	0.931
6	0.092	1.360	1.001	0.177	0.887	1.000	0.599
7	1.000	0.654	1.316	0.612	0.654	0.000	0.939
8	1.000	1.031	1.286	0.525	0.527	0.000	0.886
9	0.393	0.653	1.263	0.355	0.974	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	4	0.104	1.000	1.000
1	4	0.243	1.000	1.000
2	1	0.690	0.279	1.000
2	4	0.007	0.721	1.000
3	1	0.054	0.114	1.000
3	4	0.161	0.886	1.000
4	4	0.248	0.464	1.000
4	6	1.000	0.536	1.000
5	2	0.132	0.097	1.000
5	9	0.514	0.903	1.000
6	4	0.212	1.000	1.000
7	1	0.255	0.541	1.000
7	4	0.024	0.459	1.000
8	2	0.868	0.070	1.000
8	9	0.486	0.930	1.000
