#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.054	0.532	1.356	0.365	0.549	1.000	0.731
1	0.101	0.972	1.373	0.070	0.561	1.000	0.000
2	1.000	0.563	1.329	0.288	0.947	0.000	0.838
3	0.393	0.895	1.478	0.415	0.704	1.000	0.756
4	0.137	1.043	1.332	0.464	0.762	1.000	0.785
5	0.122	1.498	1.341	0.969	0.794	1.000	0.863
6	0.032	1.337	1.027	0.708	0.629	1.000	0.000
7	0.627	1.347	1.384	0.652	0.793	1.000	0.574
8	0.311	0.533	1.007	0.494	0.935	1.000	0.917
9	0.122	1.126	1.325	0.814	0.758	1.000	0.738
#From	To	chi[to]	beta[fr]	lambda
0	1	0.438	0.599	1.000
0	6	0.324	0.401	1.000
1	1	0.120	1.000	1.000
2	3	1.000	0.410	1.000
2	7	0.567	0.102	1.000
2	8	0.607	0.488	1.000
3	4	0.530	1.000	1.000
4	0	1.000	1.000	1.000
5	1	0.442	1.000	1.000
7	7	0.433	0.041	1.000
7	8	0.393	0.959	1.000
8	4	0.470	0.149	1.000
8	5	1.000	0.017	1.000
8	9	1.000	0.834	1.000
9	6	0.676	1.000	1.000
