#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.871	1.253	0.517	0.569	0.000	0.835
1	0.393	1.037	1.130	0.796	0.948	1.000	0.660
2	1.000	0.915	1.320	0.815	0.658	0.000	0.523
3	0.136	1.234	1.220	0.728	0.774	1.000	0.599
4	0.093	1.220	1.013	0.932	0.527	1.000	0.666
5	0.311	1.326	1.265	0.813	0.883	1.000	0.586
6	1.000	0.643	1.318	0.496	0.879	0.000	0.781
7	0.145	0.575	1.375	0.180	0.915	1.000	0.595
8	0.258	1.450	1.325	0.994	0.772	1.000	0.530
9	0.627	1.344	1.296	0.433	0.931	1.000	0.687
10	0.393	1.158	1.073	0.147	0.840	1.000	0.000
11	0.241	1.114	1.305	0.311	0.675	1.000	0.853
12	1.000	1.142	1.073	0.570	0.607	0.000	0.523
13	0.393	0.653	1.425	0.721	0.762	1.000	0.896
14	0.107	0.665	1.039	0.790	0.820	1.000	0.000
15	0.149	1.336	1.194	0.721	0.910	1.000	0.591
16	0.148	0.610	1.056	0.192	0.697	1.000	0.713
17	0.145	0.678	1.232	0.488	0.999	1.000	0.541
18	0.336	1.207	1.485	0.263	0.721	1.000	0.561
19	0.055	1.078	1.065	0.365	0.721	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	9	0.422	0.628	1.000
0	18	0.161	0.372	1.000
1	3	0.043	0.119	1.000
1	7	0.338	0.220	1.000
1	8	0.444	0.218	1.000
1	11	0.304	0.047	1.000
1	14	0.126	0.016	1.000
1	16	0.283	0.153	1.000
1	17	0.222	0.229	1.000
2	1	1.000	0.451	1.000
2	5	0.988	0.337	1.000
2	8	0.229	0.048	1.000
2	18	0.716	0.165	1.000
3	3	0.121	0.026	1.000
3	14	0.067	0.762	1.000
3	19	0.959	0.212	1.000
4	14	0.094	1.000	1.000
5	3	0.092	0.093	1.000
5	7	0.182	0.408	1.000
5	14	0.033	0.139	1.000
5	16	0.245	0.344	1.000
5	17	0.217	0.016	1.000
6	3	0.168	0.114	1.000
6	4	0.319	0.267	1.000
6	10	1.000	0.343	1.000
6	13	1.000	0.223	1.000
6	14	0.103	0.054	1.000
7	3	0.074	0.381	1.000
7	4	0.335	0.164	1.000
7	14	0.059	0.455	1.000
8	3	0.076	0.091	1.000
8	7	0.027	0.206	1.000
8	8	0.022	0.050	1.000
8	11	0.020	0.123	1.000
8	14	0.095	0.224	1.000
8	15	0.361	0.196	1.000
8	16	0.160	0.038	1.000
8	17	0.100	0.072	1.000
9	5	0.012	0.506	1.000
9	9	0.578	0.249	1.000
9	18	0.123	0.246	1.000
11	3	0.055	0.179	1.000
11	7	0.318	0.058	1.000
11	8	0.046	0.119	1.000
11	11	0.278	0.121	1.000
11	14	0.031	0.084	1.000
11	15	0.118	0.096	1.000
11	16	0.175	0.094	1.000
11	17	0.259	0.248	1.000
12	3	0.066	0.186	1.000
12	7	0.046	0.081	1.000
12	8	0.205	0.200	1.000
12	11	0.170	0.071	1.000
12	15	0.152	0.284	1.000
12	16	0.136	0.168	1.000
12	17	0.106	0.011	1.000
13	14	0.039	1.000	1.000
14	14	0.116	1.000	1.000
15	3	0.081	0.147	1.000
15	4	0.221	0.706	1.000
15	14	0.088	0.148	1.000
16	3	0.100	0.169	1.000
16	4	0.125	0.217	1.000
16	14	0.086	0.614	1.000
17	3	0.090	0.491	1.000
17	14	0.063	0.367	1.000
17	19	0.041	0.143	1.000
18	3	0.035	0.256	1.000
18	7	0.089	0.091	1.000
18	8	0.053	0.209	1.000
18	11	0.228	0.253	1.000
18	15	0.368	0.017	1.000
18	17	0.096	0.174	1.000
