#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.057	1.288	0.128	0.954	0.000	0.922
1	0.288	1.091	1.187	0.500	0.788	1.000	0.563
2	0.393	1.288	1.166	0.460	0.642	1.000	0.975
3	1.000	0.882	1.458	0.916	0.606	0.000	0.576
4	0.234	0.597	1.487	0.649	0.561	1.000	0.924
5	1.000	0.624	1.426	0.716	0.649	0.000	0.613
6	0.092	1.026	1.282	0.449	0.966	1.000	0.530
7	1.000	1.131	1.132	0.563	0.954	0.000	0.544
8	1.000	1.076	1.320	0.679	0.959	0.000	0.889
9	0.393	1.155	1.007	0.667	0.540	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	4	0.042	1.000	1.000
1	4	0.211	1.000	1.000
2	1	0.314	0.518	1.000
2	4	0.104	0.482	1.000
3	1	0.574	0.576	1.000
3	4	0.172	0.424	1.000
4	4	0.204	0.614	1.000
4	6	1.000	0.386	1.000
5	2	0.943	0.447	1.000
5	9	0.638	0.553	1.000
6	4	0.183	1.000	1.000
7	1	0.111	0.402	1.000
7	4	0.084	0.598	1.000
8	2	0.057	0.487	1.000
8	9	0.362	0.513	1.000
