#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.154	0.605	1.130	0.648	0.500	1.000	0.698
1	0.246	0.638	1.043	0.649	0.578	1.000	0.959
2	0.097	0.876	1.002	0.839	0.778	1.000	0.000
3	1.000	0.917	1.055	0.625	0.989	0.000	0.974
4	0.122	0.750	1.110	0.218	0.783	1.000	0.000
5	0.097	1.470	1.261	0.311	0.557	1.000	0.000
6	0.246	1.211	1.446	0.731	0.805	1.000	0.674
7	0.393	0.874	1.129	0.095	0.578	1.000	0.564
8	0.097	1.005	1.186	0.791	0.980	1.000	0.000
9	1.000	1.184	1.172	0.891	0.567	0.000	0.645
#From	To	chi[to]	beta[fr]	lambda
0	4	0.604	1.000	1.000
1	4	0.242	0.720	1.000
1	5	1.000	0.280	1.000
3	1	0.545	0.827	1.000
3	6	0.882	0.097	1.000
3	7	1.000	0.075	1.000
6	2	1.000	0.401	1.000
6	4	0.044	0.420	1.000
6	8	1.000	0.180	1.000
7	0	1.000	0.419	1.000
7	1	0.455	0.326	1.000
7	6	0.118	0.255	1.000
9	4	0.111	1.000	1.000
