#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.097	0.818	1.257	0.929	0.822	1.000	0.000
1	0.224	1.269	1.048	0.729	0.508	1.000	0.000
2	0.246	1.091	1.181	0.298	0.853	1.000	0.585
3	1.000	1.491	1.117	0.694	0.783	0.000	0.992
4	0.393	0.605	1.215	0.441	0.906	1.000	0.744
5	0.393	0.521	1.195	0.129	0.523	1.000	0.805
6	1.000	1.367	1.336	0.390	0.813	0.000	0.904
7	1.000	1.002	1.254	0.198	0.831	0.000	0.515
8	0.393	1.337	1.475	0.207	0.980	1.000	0.000
9	0.393	1.178	1.132	0.218	0.645	1.000	0.866
#From	To	chi[to]	beta[fr]	lambda
2	0	1.000	1.000	1.000
3	4	1.000	0.414	1.000
3	8	1.000	0.431	1.000
3	9	1.000	0.155	1.000
4	1	0.137	0.484	1.000
4	5	0.251	0.516	1.000
5	1	0.266	0.737	1.000
5	5	0.749	0.263	1.000
6	1	0.344	0.262	1.000
6	2	0.146	0.738	1.000
7	1	0.090	1.000	1.000
9	1	0.163	0.743	1.000
9	2	0.854	0.257	1.000
