#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.041	0.839	1.349	0.835	0.824	1.000	0.894
1	1.000	0.891	1.192	0.325	0.673	0.000	0.513
2	0.459	0.982	1.092	0.020	0.661	1.000	0.897
3	0.154	0.539	1.157	0.346	0.853	1.000	0.648
4	0.062	1.015	1.122	0.404	0.749	1.000	0.786
5	0.154	0.956	1.487	0.935	0.754	1.000	0.560
6	0.266	1.384	1.154	0.295	0.880	1.000	0.686
7	1.000	1.118	1.027	0.697	0.774	0.000	0.833
8	1.000	0.818	1.120	0.193	0.740	0.000	0.573
9	0.071	0.719	1.126	0.405	0.782	1.000	0.801
10	0.108	0.931	1.263	0.764	0.585	1.000	0.681
11	0.045	1.451	1.043	0.677	0.971	1.000	0.922
12	0.062	1.150	1.135	0.708	0.816	1.000	0.928
13	0.111	1.174	1.354	0.195	0.691	1.000	0.648
14	0.180	1.386	1.322	0.617	0.821	1.000	0.615
15	0.061	0.937	1.112	0.739	0.519	1.000	0.747
16	0.056	0.726	1.382	0.889	0.505	1.000	0.567
17	0.055	1.167	1.355	0.262	0.585	1.000	0.000
18	0.075	0.589	1.342	0.642	0.865	1.000	0.955
19	0.266	0.969	1.131	0.257	0.895	1.000	0.939
20	0.057	0.517	1.281	0.880	0.634	1.000	0.694
21	0.154	0.623	1.416	0.093	0.504	1.000	0.648
22	1.000	1.045	1.018	0.498	0.565	0.000	0.806
23	0.627	0.896	1.428	0.594	0.756	1.000	0.677
24	0.049	0.955	1.020	0.883	0.944	1.000	0.864
25	0.052	0.997	1.330	0.427	0.827	1.000	0.956
26	0.125	0.779	1.386	0.508	0.674	1.000	0.500
27	0.060	0.667	1.500	0.270	0.610	1.000	0.661
28	0.071	1.389	1.371	0.982	0.826	1.000	0.566
29	1.000	0.852	1.073	0.878	0.523	0.000	0.855
#From	To	chi[to]	beta[fr]	lambda
0	17	0.006	0.756	1.000
0	25	0.208	0.244	1.000
1	2	0.362	0.147	1.000
1	3	0.172	0.056	1.000
1	5	0.254	0.122	1.000
1	10	0.245	0.089	1.000
1	14	0.021	0.220	1.000
1	18	0.096	0.061	1.000
1	21	0.294	0.041	1.000
1	23	0.435	0.263	1.000
2	2	0.214	0.043	1.000
2	3	0.107	0.061	1.000
2	4	0.054	0.090	1.000
2	5	0.148	0.019	1.000
2	6	0.472	0.127	1.000
2	10	0.203	0.136	1.000
2	12	0.043	0.133	1.000
2	14	0.367	0.044	1.000
2	18	0.107	0.139	1.000
2	19	0.508	0.053	1.000
2	21	0.307	0.141	1.000
2	26	0.599	0.015	1.000
3	4	0.054	0.038	1.000
3	12	0.023	0.043	1.000
3	15	0.199	0.196	1.000
3	16	0.019	0.061	1.000
3	17	0.064	0.142	1.000
3	18	0.025	0.246	1.000
3	20	0.036	0.273	1.000
4	17	0.046	0.213	1.000
4	25	0.032	0.787	1.000
5	4	0.050	0.312	1.000
5	12	0.076	0.121	1.000
5	17	0.050	0.091	1.000
5	24	0.249	0.103	1.000
5	25	0.150	0.373	1.000
6	3	0.161	0.023	1.000
6	4	0.061	0.054	1.000
6	5	0.150	0.114	1.000
6	6	0.279	0.080	1.000
6	10	0.034	0.022	1.000
6	12	0.011	0.041	1.000
6	14	0.053	0.109	1.000
6	18	0.008	0.110	1.000
6	19	0.257	0.123	1.000
6	21	0.058	0.101	1.000
6	26	0.273	0.109	1.000
6	27	0.216	0.113	1.000
7	4	0.034	0.286	1.000
7	12	0.016	0.063	1.000
7	17	0.035	0.195	1.000
7	24	0.145	0.239	1.000
7	25	0.123	0.216	1.000
8	17	0.076	1.000	1.000
9	0	0.244	0.149	1.000
9	4	0.032	0.037	1.000
9	12	0.087	0.020	1.000
9	15	0.029	0.260	1.000
9	16	0.138	0.241	1.000
