#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.228	1.460	1.178	0.340	0.722	1.000	0.524
1	0.060	0.988	1.031	0.838	0.951	1.000	0.534
2	0.393	1.139	1.278	0.481	0.671	1.000	0.866
3	1.000	0.774	1.279	0.862	0.836	0.000	0.801
4	0.122	0.639	1.172	0.428	0.924	1.000	0.562
5	0.076	0.964	1.046	0.100	0.642	1.000	0.000
6	1.000	1.073	1.153	0.150	0.942	0.000	0.961
7	0.393	0.758	1.272	0.356	0.815	1.000	0.585
8	0.311	1.302	1.123	0.352	0.932	1.000	0.933
9	0.084	0.815	1.171	0.627	0.778	1.000	0.736
10	0.085	1.346	1.249	0.492	0.766	1.000	0.680
11	0.137	1.018	1.176	0.816	0.896	1.000	0.596
12	0.311	1.476	1.207	0.812	0.754	1.000	0.948
13	1.000	1.349	1.288	0.950	0.764	0.000	0.531
14	0.083	0.652	1.156	0.584	0.594	1.000	0.845
15	0.137	0.875	1.412	0.317	0.774	1.000	0.830
16	0.195	0.692	1.178	0.768	0.594	1.000	0.850
17	0.118	0.601	1.015	0.181	0.596	1.000	0.612
18	1.000	1.013	1.195	0.715	0.907	0.000	0.867
19	0.048	0.789	1.477	0.178	0.962	1.000	0.629
#From	To	chi[to]	beta[fr]	lambda
0	5	0.026	1.000	1.000
1	5	0.082	0.236	1.000
1	10	0.051	0.285	1.000
1	14	0.249	0.159	1.000
1	17	0.128	0.320	1.000
2	0	0.149	0.182	1.000
2	5	0.051	0.087	1.000
2	8	0.086	0.024	1.000
2	12	0.044	0.221	1.000
2	15	0.849	0.172	1.000
2	16	0.069	0.123	1.000
2	17	0.083	0.191	1.000
3	0	0.176	0.212	1.000
3	7	0.246	0.028	1.000
3	8	0.445	0.369	1.000
3	12	0.240	0.082	1.000
3	17	0.035	0.310	1.000
4	5	0.049	0.165	1.000
4	10	0.161	0.030	1.000
4	14	0.241	0.107	1.000
4	17	0.043	0.395	1.000
4	19	1.000	0.304	1.000
5	5	0.053	1.000	1.000
6	0	0.310	0.025	1.000
6	2	1.000	0.107	1.000
6	7	0.485	0.175	1.000
6	8	0.068	0.174	1.000
6	12	0.493	0.150	1.000
6	16	0.541	0.265	1.000
6	17	0.124	0.103	1.000
7	5	0.066	0.152	1.000
7	9	0.091	0.152	1.000
7	10	0.036	0.229	1.000
7	14	0.084	0.232	1.000
7	17	0.076	0.235	1.000
8	0	0.304	0.059	1.000
8	1	0.420	0.058	1.000
8	4	1.000	0.135	1.000
8	5	0.055	0.165	1.000
8	9	0.267	0.120	1.000
8	10	0.106	0.274	1.000
8	17	0.097	0.188	1.000
9	5	0.058	0.209	1.000
9	10	0.066	0.146	1.000
9	14	0.118	0.416	1.000
9	17	0.009	0.229	1.000
10	1	0.352	0.160	1.000
10	5	0.088	0.204	1.000
10	9	0.230	0.129	1.000
10	10	0.032	0.096	1.000
10	14	0.037	0.245	1.000
10	17	0.050	0.166	1.000
11	5	0.025	0.300	1.000
11	11	0.472	0.700	1.000
12	0	0.056	0.203	1.000
12	5	0.050	0.230	1.000
12	9	0.105	0.166	1.000
12	15	0.151	0.093	1.000
12	16	0.390	0.204	1.000
12	17	0.032	0.103	1.000
13	0	0.005	0.431	1.000
13	7	0.269	0.068	1.000
13	8	0.401	0.247	1.000
13	12	0.223	0.057	1.000
13	17	0.090	0.197	1.000
14	5	0.088	0.183	1.000
14	10	0.104	0.370	1.000
14	14	0.025	0.274	1.000
14	17	0.123	0.174	1.000
15	1	0.228	0.202	1.000
15	5	0.081	0.047	1.000
15	9	0.308	0.020	1.000
15	10	0.091	0.237	1.000
15	14	0.053	0.256	1.000
15	17	0.022	0.238	1.000
16	5	0.054	0.044	1.000
16	10	0.117	0.499	1.000
16	17	0.002	0.457	1.000
17	5	0.021	0.100	1.000
17	10	0.116	0.509	1.000
17	14	0.174	0.351	1.000
17	17	0.070	0.041	1.000
18	5	0.069	0.295	1.000
18	10	0.122	0.515	1.000
18	14	0.018	0.131	1.000
18	17	0.018	0.059	1.000
19	5	0.085	0.576	1.000
19	11	0.528	0.424	1.000
