#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.088	1.494	0.640	0.935	0.000	0.803
1	1.000	0.611	1.185	0.265	0.770	0.000	0.624
2	1.000	1.070	1.370	0.733	0.935	0.000	0.907
3	0.176	0.727	1.133	0.115	0.913	1.000	0.000
4	0.057	1.161	1.063	0.609	0.786	1.000	0.834
5	0.083	0.543	1.351	0.966	0.744	1.000	0.000
6	0.108	1.014	1.154	0.601	0.659	1.000	0.595
7	1.000	1.154	1.135	0.253	0.525	0.000	0.759
8	0.058	0.752	1.160	0.632	0.806	1.000	0.964
9	0.393	1.337	1.226	0.216	0.521	1.000	0.744
10	0.393	0.686	1.488	0.621	0.615	1.000	0.631
11	0.393	1.175	1.239	0.216	0.833	1.000	0.785
12	0.154	1.366	1.199	0.690	0.680	1.000	0.509
13	0.142	0.746	1.022	0.582	0.926	1.000	0.986
14	0.156	0.726	1.324	0.002	0.820	1.000	0.978
15	0.246	0.740	1.130	0.062	0.551	1.000	0.941
16	0.124	1.386	1.266	0.185	0.588	1.000	0.799
17	1.000	0.692	1.125	0.262	0.706	0.000	0.613
18	0.211	1.128	1.422	0.226	0.687	1.000	0.592
19	0.154	1.443	1.303	0.895	0.869	1.000	0.758
#From	To	chi[to]	beta[fr]	lambda
0	5	0.057	0.603	1.000
0	6	0.015	0.200	1.000
0	14	0.109	0.198	1.000
1	3	0.161	0.281	1.000
1	9	1.000	0.056	1.000
1	11	1.000	0.501	1.000
1	19	0.279	0.163	1.000
2	5	0.173	0.220	1.000
2	6	0.021	0.084	1.000
2	13	0.194	0.220	1.000
2	14	0.205	0.204	1.000
2	15	0.317	0.171	1.000
2	16	0.036	0.083	1.000
2	18	0.431	0.018	1.000
4	5	0.141	0.096	1.000
4	6	0.080	0.904	1.000
6	4	0.286	0.083	1.000
6	5	0.005	0.229	1.000
6	6	0.077	0.213	1.000
6	8	0.512	0.217	1.000
6	13	0.112	0.070	1.000
6	14	0.032	0.126	1.000
6	16	0.152	0.062	1.000
7	3	0.217	0.104	1.000
7	10	0.396	0.269	1.000
7	14	0.195	0.220	1.000
7	15	0.208	0.407	1.000
8	5	0.079	0.510	1.000
8	6	0.052	0.490	1.000
9	3	0.146	0.176	1.000
9	5	0.021	0.163	1.000
9	6	0.143	0.056	1.000
9	10	0.268	0.198	1.000
9	13	0.098	0.080	1.000
9	14	0.040	0.091	1.000
9	15	0.109	0.055	1.000
9	18	0.425	0.181	1.000
10	5	0.117	0.093	1.000
10	6	0.125	0.289	1.000
10	10	0.336	0.093	1.000
10	13	0.184	0.133	1.000
10	14	0.079	0.027	1.000
10	15	0.366	0.268	1.000
10	18	0.144	0.097	1.000
11	3	0.144	0.484	1.000
11	12	1.000	0.249	1.000
11	19	0.259	0.267	1.000
12	3	0.065	0.235	1.000
12	19	0.463	0.765	1.000
13	4	0.254	0.165	1.000
13	5	0.072	0.224	1.000
13	6	0.162	0.212	1.000
13	8	0.223	0.084	1.000
13	13	0.100	0.058	1.000
13	14	0.128	0.018	1.000
13	16	0.287	0.239	1.000
14	4	0.008	0.016	1.000
14	5	0.047	0.092	1.000
14	6	0.083	0.278	1.000
14	13	0.211	0.302	1.000
14	14	0.017	0.144	1.000
14	16	0.168	0.166	1.000
15	5	0.012	0.312	1.000
15	6	0.095	0.100	1.000
15	14	0.037	0.272	1.000
15	16	0.204	0.317	1.000
16	4	0.233	0.195	1.000
16	5	0.176	0.221	1.000
16	6	0.048	0.244	1.000
16	13	0.102	0.118	1.000
16	14	0.058	0.021	1.000
16	16	0.036	0.200	1.000
17	3	0.068	1.000	1.000
18	4	0.218	0.327	1.000
18	5	0.099	0.248	1.000
18	6	0.099	0.023	1.000
18	8	0.265	0.120	1.000
18	14	0.101	0.201	1.000
18	16	0.117	0.081	1.000
19	3	0.199	1.000	1.000
