#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	1.215	1.309	0.951	0.876	1.000	0.603
1	0.154	0.655	1.385	0.405	0.744	1.000	0.883
2	1.000	0.804	1.385	0.757	0.704	0.000	0.778
3	1.000	0.814	1.133	0.605	0.664	0.000	0.642
4	0.224	0.831	1.394	0.913	0.952	1.000	0.765
5	1.000	1.189	1.134	0.728	0.911	0.000	0.587
6	0.169	0.769	1.215	0.235	0.779	1.000	0.840
7	1.000	1.020	1.303	0.742	0.714	0.000	0.839
8	0.230	1.059	1.327	0.073	0.729	1.000	0.000
9	0.246	1.477	1.269	0.574	0.964	1.000	0.861
#From	To	chi[to]	beta[fr]	lambda
0	1	1.000	0.180	1.000
0	6	0.136	0.588	1.000
0	9	0.014	0.232	1.000
1	6	0.155	1.000	1.000
2	4	0.272	0.017	1.000
2	8	0.013	0.983	1.000
3	0	1.000	0.405	1.000
3	6	0.322	0.326	1.000
3	9	0.986	0.269	1.000
4	4	0.223	0.431	1.000
4	8	0.443	0.569	1.000
5	8	0.276	1.000	1.000
6	4	0.156	0.611	1.000
6	8	0.052	0.389	1.000
7	6	0.045	0.376	1.000
7	8	0.087	0.624	1.000
8	8	0.070	1.000	1.000
9	4	0.349	0.079	1.000
9	6	0.341	0.459	1.000
9	8	0.058	0.462	1.000
