#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	0.548	1.301	0.066	0.601	1.000	0.509
1	1.000	0.727	1.356	0.999	0.751	0.000	0.860
2	0.105	1.310	1.059	0.009	0.838	1.000	0.000
3	0.106	0.990	1.329	0.316	0.823	1.000	0.000
4	1.000	0.775	1.071	0.112	0.878	0.000	0.804
5	1.000	0.795	1.409	0.066	0.757	0.000	0.971
6	0.270	1.079	1.135	0.974	0.849	1.000	0.658
7	0.393	0.937	1.353	0.251	0.946	1.000	0.605
8	0.246	1.417	1.157	0.981	0.684	1.000	0.837
9	0.288	1.401	1.254	0.990	0.592	1.000	0.668
#From	To	chi[to]	beta[fr]	lambda
0	6	0.031	0.636	1.000
0	8	0.175	0.364	1.000
1	6	0.167	0.669	1.000
1	8	0.349	0.139	1.000
1	9	0.452	0.192	1.000
4	0	1.000	0.959	1.000
4	6	0.278	0.041	1.000
5	6	0.296	0.449	1.000
5	7	1.000	0.006	1.000
5	8	0.187	0.220	1.000
5	9	0.296	0.325	1.000
6	2	0.324	0.161	1.000
6	3	1.000	0.839	1.000
7	6	0.228	0.284	1.000
7	8	0.289	0.408	1.000
7	9	0.252	0.309	1.000
8	2	0.083	1.000	1.000
9	2	0.593	1.000	1.000
