#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.179	1.124	0.502	0.645	0.000	0.695
1	0.393	1.146	1.388	0.258	0.556	1.000	0.789
2	1.000	1.171	1.304	0.600	0.756	0.000	0.510
3	0.136	1.023	1.179	0.533	0.997	1.000	0.872
4	0.093	1.223	1.489	0.262	0.581	1.000	0.984
5	0.311	0.609	1.072	0.499	0.849	1.000	0.791
6	1.000	0.807	1.371	0.255	0.595	0.000	0.633
7	0.145	0.974	1.271	0.318	0.628	1.000	0.855
8	0.258	1.078	1.123	0.879	0.715	1.000	0.805
9	0.627	0.923	1.089	0.308	0.646	1.000	0.681
10	0.393	1.176	1.015	0.163	0.967	1.000	0.000
11	0.241	1.016	1.273	0.261	0.847	1.000	0.572
12	1.000	0.945	1.312	0.627	0.992	0.000	0.855
13	0.393	0.793	1.381	0.802	0.884	1.000	0.861
14	0.107	0.545	1.198	0.637	0.537	1.000	0.000
15	0.149	0.990	1.241	0.642	0.570	1.000	0.908
16	0.148	0.544	1.340	0.010	0.555	1.000	0.921
17	0.145	0.967	1.092	0.577	0.844	1.000	0.508
18	0.336	1.393	1.001	0.816	0.786	1.000	0.860
19	0.055	0.594	1.291	0.447	0.701	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	9	0.546	0.363	1.000
0	18	0.344	0.637	1.000
1	3	0.117	0.184	1.000
1	7	0.172	0.143	1.000
1	8	0.029	0.216	1.000
1	11	0.156	0.136	1.000
1	14	0.098	0.047	1.000
1	16	0.062	0.160	1.000
1	17	0.012	0.113	1.000
2	1	1.000	0.322	1.000
2	5	0.558	0.259	1.000
2	8	0.330	0.196	1.000
2	18	0.263	0.223	1.000
3	3	0.096	0.462	1.000
3	14	0.071	0.510	1.000
3	19	0.202	0.028	1.000
4	14	0.003	1.000	1.000
5	3	0.029	0.185	1.000
5	7	0.036	0.286	1.000
5	14	0.124	0.177	1.000
5	16	0.357	0.289	1.000
5	17	0.439	0.063	1.000
6	3	0.116	0.161	1.000
6	4	0.586	0.178	1.000
6	10	1.000	0.230	1.000
6	13	1.000	0.258	1.000
6	14	0.114	0.173	1.000
7	3	0.083	0.355	1.000
7	4	0.058	0.254	1.000
7	14	0.012	0.391	1.000
8	3	0.087	0.052	1.000
8	7	0.202	0.036	1.000
8	8	0.175	0.025	1.000
8	11	0.241	0.102	1.000
8	14	0.010	0.008	1.000
8	15	0.021	0.360	1.000
8	16	0.123	0.230	1.000
8	17	0.219	0.187	1.000
9	5	0.442	0.696	1.000
9	9	0.454	0.201	1.000
9	18	0.392	0.103	1.000
11	3	0.078	0.145	1.000
11	7	0.291	0.027	1.000
11	8	0.039	0.169	1.000
11	11	0.109	0.191	1.000
11	14	0.121	0.081	1.000
11	15	0.489	0.037	1.000
11	16	0.103	0.197	1.000
11	17	0.214	0.152	1.000
12	3	0.121	0.170	1.000
12	7	0.084	0.076	1.000
12	8	0.396	0.182	1.000
12	11	0.184	0.183	1.000
12	15	0.230	0.283	1.000
12	16	0.356	0.097	1.000
12	17	0.053	0.009	1.000
13	14	0.090	1.000	1.000
14	14	0.138	1.000	1.000
15	3	0.097	0.503	1.000
15	4	0.182	0.217	1.000
15	14	0.018	0.280	1.000
16	3	0.065	0.497	1.000
16	4	0.174	0.229	1.000
16	14	0.167	0.275	1.000
17	3	0.024	0.392	1.000
17	14	0.033	0.507	1.000
17	19	0.798	0.101	1.000
18	3	0.086	0.306	1.000
18	7	0.215	0.153	1.000
18	8	0.031	0.140	1.000
18	11	0.310	0.018	1.000
18	15	0.259	0.255	1.000
18	17	0.063	0.129	1.000
