#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.376	1.106	0.077	0.979	0.000	0.580
1	0.154	0.929	1.122	0.016	0.838	1.000	0.844
2	1.000	0.862	1.025	0.099	0.850	0.000	0.635
3	0.211	0.534	1.183	0.768	0.570	1.000	0.977
4	0.393	0.785	1.191	0.191	0.599	1.000	0.927
5	0.193	0.861	1.398	0.522	0.907	1.000	0.000
6	1.000	1.067	1.135	0.557	0.747	0.000	0.933
7	0.224	1.360	1.450	0.653	0.761	1.000	0.871
8	1.000	1.261	1.271	0.560	0.710	0.000	0.617
9	0.234	1.308	1.416	0.119	0.919	1.000	0.671
#From	To	chi[to]	beta[fr]	lambda
0	3	0.434	0.244	1.000
0	5	0.053	0.242	1.000
0	7	0.124	0.052	1.000
0	9	0.258	0.462	1.000
1	3	0.377	0.395	1.000
1	5	0.044	0.352	1.000
1	7	0.374	0.253	1.000
2	4	1.000	0.769	1.000
2	7	0.053	0.231	1.000
3	5	0.100	0.150	1.000
3	9	0.479	0.850	1.000
4	1	1.000	0.456	1.000
4	5	0.073	0.385	1.000
4	7	0.100	0.159	1.000
5	5	0.151	1.000	1.000
6	5	0.194	1.000	1.000
7	5	0.262	1.000	1.000
8	3	0.189	0.248	1.000
8	5	0.028	0.263	1.000
8	7	0.350	0.082	1.000
8	9	0.263	0.406	1.000
9	5	0.094	1.000	1.000
