#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.154	1.020	1.479	0.557	0.930	1.000	0.679
1	0.246	1.002	1.216	0.749	0.724	1.000	0.802
2	0.097	1.188	1.167	0.239	0.716	1.000	0.000
3	1.000	0.945	1.258	0.949	0.975	0.000	0.646
4	0.122	0.561	1.179	0.281	0.723	1.000	0.000
5	0.097	0.765	1.256	0.932	0.636	1.000	0.000
6	0.246	1.287	1.191	0.212	0.943	1.000	0.813
7	0.393	1.165	1.406	0.528	0.792	1.000	0.894
8	0.097	0.784	1.151	0.690	0.823	1.000	0.000
9	1.000	1.417	1.191	0.907	0.797	0.000	0.975
#From	To	chi[to]	beta[fr]	lambda
0	4	0.151	1.000	1.000
1	4	0.339	0.362	1.000
1	5	1.000	0.638	1.000
3	1	0.748	0.194	1.000
3	6	0.213	0.314	1.000
3	7	1.000	0.492	1.000
6	2	1.000	0.311	1.000
6	4	0.262	0.123	1.000
6	8	1.000	0.566	1.000
7	0	1.000	0.458	1.000
7	1	0.252	0.127	1.000
7	6	0.787	0.415	1.000
9	4	0.247	1.000	1.000
