#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.105	1.257	1.440	0.461	0.544	1.000	0.751
1	0.211	0.752	1.232	0.415	0.891	1.000	0.622
2	0.211	0.750	1.294	0.339	0.751	1.000	0.971
3	0.204	0.912	1.192	0.172	0.762	1.000	0.722
4	0.393	0.975	1.178	0.106	0.823	1.000	0.767
5	0.393	1.358	1.045	0.681	0.635	1.000	0.594
6	0.190	0.959	1.239	0.582	0.515	1.000	0.883
7	0.231	0.981	1.009	0.009	0.585	1.000	0.876
8	0.057	1.330	1.278	0.973	0.962	1.000	0.934
9	1.000	0.767	1.477	0.663	0.892	0.000	0.872
10	0.270	0.825	1.338	0.846	0.856	1.000	0.924
11	0.393	1.336	1.131	0.890	0.711	1.000	0.546
12	0.096	1.118	1.243	0.669	0.614	1.000	0.868
13	1.000	1.064	1.284	0.247	0.596	0.000	0.564
14	0.151	1.305	1.497	0.364	0.656	1.000	0.663
15	1.000	1.217	1.446	0.169	0.746	0.000	0.661
16	1.000	1.500	1.043	0.492	0.529	0.000	0.742
17	0.150	0.630	1.484	0.612	0.592	1.000	0.519
18	0.393	0.928	1.168	0.329	0.515	1.000	0.638
19	0.119	0.974	1.221	0.285	0.679	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	0	0.053	0.155	1.000
0	8	0.195	0.845	1.000
1	0	0.217	0.311	1.000
1	8	0.308	0.689	1.000
2	0	0.182	0.519	1.000
2	8	0.287	0.481	1.000
3	6	0.225	0.450	1.000
3	14	0.334	0.082	1.000
3	17	0.605	0.469	1.000
4	1	0.446	0.107	1.000
4	2	0.094	0.121	1.000
4	7	0.206	0.428	1.000
4	10	0.274	0.040	1.000
4	18	0.667	0.303	1.000
5	19	0.335	1.000	1.000
6	19	0.311	1.000	1.000
7	19	0.255	1.000	1.000
8	19	0.090	1.000	1.000
9	3	0.591	0.201	1.000
9	6	0.241	0.167	1.000
9	7	0.157	0.069	1.000
9	14	0.262	0.296	1.000
9	17	0.148	0.267	1.000
10	3	0.409	0.272	1.000
10	6	0.184	0.218	1.000
10	7	0.071	0.063	1.000
10	14	0.336	0.348	1.000
10	17	0.248	0.099	1.000
11	0	0.246	0.516	1.000
11	12	0.965	0.083	1.000
11	14	0.068	0.401	1.000
12	0	0.244	0.738	1.000
12	8	0.075	0.262	1.000
13	1	0.369	0.162	1.000
13	2	0.805	0.223	1.000
13	6	0.350	0.190	1.000
13	7	0.232	0.069	1.000
13	10	0.087	0.277	1.000
13	11	1.000	0.080	1.000
14	0	0.053	0.312	1.000
14	12	0.035	0.688	1.000
15	4	1.000	0.076	1.000
15	5	1.000	0.355	1.000
15	7	0.157	0.282	1.000
15	10	0.356	0.287	1.000
16	10	0.209	1.000	1.000
17	0	0.004	0.500	1.000
17	8	0.135	0.500	1.000
18	1	0.185	0.333	1.000
18	2	0.101	0.298	1.000
18	7	0.177	0.016	1.000
18	10	0.074	0.331	1.000
18	18	0.333	0.021	1.000
19	19	0.008	1.000	1.000
