#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.313	1.357	0.840	0.760	0.000	0.909
1	0.393	1.014	1.267	0.940	0.705	1.000	0.704
2	0.195	1.445	1.357	0.253	0.551	1.000	0.608
3	1.000	0.704	1.237	0.777	0.963	0.000	0.633
4	1.000	0.674	1.099	0.007	0.808	0.000	0.939
5	0.077	0.623	1.050	0.994	0.791	1.000	0.509
6	0.393	1.009	1.375	0.886	0.517	1.000	0.739
7	0.184	1.265	1.198	0.697	0.791	1.000	0.000
8	0.393	0.565	1.257	0.335	0.584	1.000	0.833
9	1.000	0.759	1.335	0.582	0.889	0.000	0.869
#From	To	chi[to]	beta[fr]	lambda
0	6	0.659	0.601	1.000
0	8	1.000	0.399	1.000
1	1	0.216	0.263	1.000
1	2	0.189	0.227	1.000
1	7	0.080	0.510	1.000
2	2	0.336	0.242	1.000
2	5	1.000	0.279	1.000
2	7	0.179	0.479	1.000
3	6	0.341	1.000	1.000
4	2	0.175	0.100	1.000
4	7	0.183	0.900	1.000
5	2	0.142	0.276	1.000
5	7	0.115	0.724	1.000
6	1	0.784	0.178	1.000
6	2	0.159	0.360	1.000
6	7	0.104	0.461	1.000
7	7	0.124	1.000	1.000
8	7	0.163	1.000	1.000
9	7	0.053	1.000	1.000
