#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.211	1.277	1.461	0.436	0.693	1.000	0.000
1	0.186	1.482	1.071	0.626	0.925	1.000	0.000
2	0.393	0.640	1.101	0.495	0.630	1.000	0.702
3	0.393	0.901	1.476	0.675	0.882	1.000	0.912
4	1.000	1.095	1.298	0.154	0.660	0.000	0.762
5	1.000	0.920	1.317	0.476	0.521	0.000	0.687
6	1.000	0.949	1.439	0.836	0.985	0.000	0.849
7	0.393	1.446	1.430	0.248	0.932	1.000	0.662
8	0.393	0.744	1.373	0.585	0.855	1.000	0.000
9	0.393	0.941	1.044	0.937	0.652	1.000	0.795
#From	To	chi[to]	beta[fr]	lambda
2	0	0.542	0.291	1.000
2	1	0.116	0.135	1.000
2	7	0.199	0.574	1.000
3	1	0.222	1.000	1.000
4	0	0.264	0.308	1.000
4	1	0.081	0.338	1.000
4	2	1.000	0.272	1.000
4	8	1.000	0.082	1.000
5	3	1.000	1.000	1.000
6	9	1.000	1.000	1.000
7	0	0.194	0.425	1.000
7	1	0.309	0.214	1.000
7	7	0.801	0.362	1.000
9	1	0.272	1.000	1.000
