#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.877	1.017	0.808	0.652	0.000	0.648
1	1.000	1.347	1.395	0.065	0.652	0.000	0.902
2	0.393	0.581	1.486	0.918	0.890	1.000	0.695
3	1.000	1.297	1.154	0.893	0.682	0.000	0.684
4	1.000	1.084	1.302	0.707	0.881	0.000	0.591
5	1.000	0.585	1.470	0.258	0.895	0.000	0.971
6	0.232	1.113	1.274	0.944	0.662	1.000	0.714
7	0.393	0.912	1.438	0.056	0.956	1.000	0.786
8	0.308	0.933	1.097	0.921	0.718	1.000	0.851
9	0.246	1.152	1.041	0.074	0.511	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	2	1.000	0.387	1.000
0	7	1.000	0.613	1.000
1	6	0.178	0.361	1.000
1	8	0.350	0.639	1.000
2	9	0.904	1.000	1.000
3	8	0.078	1.000	1.000
4	9	0.096	1.000	1.000
5	6	0.332	0.707	1.000
5	8	0.094	0.293	1.000
6	8	0.119	1.000	1.000
7	6	0.380	0.436	1.000
7	8	0.268	0.564	1.000
8	6	0.110	0.571	1.000
8	8	0.090	0.429	1.000
