#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.235	0.704	1.288	0.231	0.860	1.000	0.580
1	1.000	1.153	1.216	0.072	0.502	0.000	0.730
2	0.393	0.853	1.254	0.505	0.912	1.000	0.567
3	1.000	1.034	1.097	0.150	0.923	0.000	0.563
4	1.000	0.951	1.057	0.152	0.616	0.000	0.996
5	1.000	0.612	1.054	0.034	0.985	0.000	0.780
6	1.000	1.466	1.396	0.919	0.958	0.000	0.849
7	0.171	0.995	1.023	0.503	0.587	1.000	0.826
8	1.000	0.873	1.467	0.316	0.617	0.000	0.875
9	1.000	0.802	1.101	0.236	0.965	0.000	0.631
10	0.141	0.928	1.457	0.837	0.549	1.000	0.000
11	0.246	1.484	1.430	0.711	0.851	1.000	0.640
12	0.293	1.072	1.267	0.884	0.894	1.000	0.625
13	0.195	1.057	1.250	0.779	0.728	1.000	0.924
14	0.246	0.934	1.244	0.036	0.859	1.000	0.546
15	0.627	0.878	1.401	0.543	0.533	1.000	0.792
16	0.496	0.845	1.199	0.712	0.893	1.000	0.610
17	0.180	0.974	1.385	0.210	0.539	1.000	0.599
18	0.393	0.678	1.009	0.374	0.953	1.000	0.000
19	0.336	0.661	1.212	0.955	0.769	1.000	0.808
#From	To	chi[to]	beta[fr]	lambda
0	10	0.044	0.238	1.000
0	17	0.077	0.762	1.000
1	10	0.249	0.920	1.000
1	17	0.136	0.080	1.000
2	17	0.111	1.000	1.000
3	0	0.346	0.036	1.000
3	12	0.181	0.127	1.000
3	13	0.107	0.320	1.000
3	14	0.442	0.517	1.000
4	2	1.000	0.513	1.000
4	7	0.343	0.183	1.000
4	13	0.122	0.118	1.000
4	17	0.075	0.013	1.000
4	19	0.374	0.174	1.000
5	18	0.438	1.000	1.000
6	15	0.515	0.642	1.000
6	18	0.562	0.358	1.000
7	10	0.184	0.656	1.000
7	17	0.116	0.344	1.000
8	10	0.255	0.373	1.000
8	17	0.111	0.627	1.000
9	0	0.009	0.070	1.000
9	12	0.219	0.286	1.000
9	13	0.132	0.130	1.000
9	14	0.430	0.514	1.000
11	0	0.216	0.048	1.000
11	13	0.078	0.119	1.000
11	14	0.128	0.833	1.000
12	10	0.185	0.108	1.000
12	13	0.099	0.379	1.000
12	17	0.093	0.513	1.000
13	17	0.067	1.000	1.000
14	7	0.543	0.395	1.000
14	13	0.136	0.214	1.000
14	17	0.104	0.164	1.000
14	19	0.356	0.227	1.000
15	0	0.351	0.052	1.000
15	11	1.000	0.241	1.000
15	12	0.243	0.207	1.000
15	13	0.077	0.198	1.000
15	15	0.485	0.190	1.000
15	16	0.424	0.113	1.000
16	0	0.078	0.216	1.000
16	12	0.357	0.289	1.000
16	13	0.089	0.245	1.000
16	16	0.576	0.250	1.000
17	10	0.082	0.659	1.000
17	17	0.008	0.341	1.000
19	7	0.114	0.427	1.000
19	13	0.161	0.010	1.000
19	17	0.102	0.144	1.000
19	19	0.271	0.419	1.000
