#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	0.637	1.248	0.641	0.901	1.000	0.000
1	1.000	1.027	1.083	0.200	0.595	0.000	0.635
2	1.000	1.372	1.116	0.034	0.683	0.000	0.531
3	1.000	1.239	1.415	0.252	0.859	0.000	0.955
4	0.311	1.090	1.089	0.358	0.705	1.000	0.527
5	0.393	0.621	1.070	0.744	0.724	1.000	0.000
6	0.173	0.567	1.340	0.097	0.618	1.000	0.000
7	0.627	0.716	1.024	0.544	0.961	1.000	0.910
8	0.363	1.182	1.109	0.711	0.807	1.000	0.857
9	0.336	0.826	1.341	0.761	0.849	1.000	0.836
#From	To	chi[to]	beta[fr]	lambda
1	6	0.076	1.000	1.000
2	5	1.000	0.543	1.000
2	9	0.263	0.457	1.000
3	0	1.000	0.327	1.000
3	4	0.678	0.295	1.000
3	7	0.385	0.015	1.000
3	9	0.237	0.363	1.000
4	6	0.272	1.000	1.000
7	4	0.322	0.027	1.000
7	7	0.615	0.332	1.000
7	9	0.500	0.642	1.000
8	6	0.330	0.526	1.000
8	8	0.541	0.474	1.000
9	6	0.322	0.839	1.000
9	8	0.459	0.161	1.000
