#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.041	0.816	1.491	0.226	0.839	1.000	0.504
1	1.000	1.257	1.000	0.276	0.995	0.000	0.636
2	0.459	0.613	1.319	0.172	0.557	1.000	0.617
3	0.154	1.071	1.161	0.758	0.972	1.000	0.967
4	0.062	0.896	1.277	0.042	0.522	1.000	0.749
5	0.154	0.947	1.166	0.178	0.906	1.000	0.624
6	0.266	0.789	1.463	0.435	0.580	1.000	0.538
7	1.000	1.084	1.055	0.673	0.816	0.000	0.659
8	1.000	0.573	1.312	0.245	0.877	0.000	0.725
9	0.071	0.501	1.072	0.936	0.774	1.000	0.636
10	0.108	0.544	1.252	0.039	0.740	1.000	0.708
11	0.045	0.878	1.194	0.763	0.884	1.000	0.597
12	0.062	1.131	1.336	0.383	0.864	1.000	0.522
13	0.111	1.422	1.099	0.573	0.929	1.000	0.873
14	0.180	0.781	1.446	0.208	0.998	1.000	0.583
15	0.061	1.387	1.226	0.553	0.745	1.000	0.763
16	0.056	1.287	1.468	0.374	0.974	1.000	0.733
17	0.055	0.937	1.447	0.359	0.677	1.000	0.000
18	0.075	1.366	1.225	0.502	0.791	1.000	0.712
19	0.266	1.076	1.022	0.676	0.623	1.000	0.540
20	0.057	0.912	1.037	0.342	0.883	1.000	0.793
21	0.154	0.770	1.368	0.368	0.611	1.000	0.901
22	1.000	1.072	1.244	0.390	0.739	0.000	0.606
23	0.627	1.089	1.216	0.136	0.894	1.000	0.959
24	0.049	1.317	1.096	0.739	0.830	1.000	0.870
25	0.052	0.680	1.058	0.995	0.656	1.000	0.811
26	0.125	0.953	1.348	0.416	0.647	1.000	0.672
27	0.060	1.283	1.481	0.132	0.541	1.000	0.517
28	0.071	0.968	1.129	0.349	0.995	1.000	0.515
29	1.000	0.600	1.065	0.640	0.764	0.000	0.754
#From	To	chi[to]	beta[fr]	lambda
0	17	0.034	0.336	1.000
0	25	0.147	0.664	1.000
1	2	0.271	0.034	1.000
1	3	0.245	0.093	1.000
1	5	0.116	0.117	1.000
1	10	0.112	0.231	1.000
1	14	0.279	0.134	1.000
1	18	0.024	0.235	1.000
1	21	0.011	0.021	1.000
1	23	0.290	0.136	1.000
2	2	0.249	0.150	1.000
2	3	0.190	0.126	1.000
2	4	0.036	0.125	1.000
2	5	0.156	0.105	1.000
2	6	0.269	0.017	1.000
2	10	0.033	0.164	1.000
2	12	0.002	0.144	1.000
2	14	0.053	0.002	1.000
2	18	0.072	0.067	1.000
2	19	0.540	0.046	1.000
2	21	0.063	0.042	1.000
2	26	0.871	0.013	1.000
3	4	0.001	0.095	1.000
3	12	0.006	0.275	1.000
3	15	0.085	0.060	1.000
3	16	0.090	0.089	1.000
3	17	0.065	0.024	1.000
3	18	0.097	0.224	1.000
3	20	0.131	0.233	1.000
4	17	0.069	0.295	1.000
4	25	0.052	0.705	1.000
5	4	0.076	0.076	1.000
5	12	0.082	0.346	1.000
5	17	0.025	0.119	1.000
5	24	0.049	0.228	1.000
5	25	0.005	0.231	1.000
6	3	0.045	0.139	1.000
6	4	0.057	0.041	1.000
6	5	0.013	0.114	1.000
6	6	0.563	0.195	1.000
6	10	0.137	0.064	1.000
6	12	0.082	0.024	1.000
6	14	0.218	0.102	1.000
6	18	0.033	0.077	1.000
6	19	0.150	0.027	1.000
6	21	0.371	0.190	1.000
6	26	0.090	0.019	1.000
6	27	0.323	0.009	1.000
7	4	0.042	0.317	1.000
7	12	0.082	0.067	1.000
7	17	0.065	0.193	1.000
7	24	0.388	0.280	1.000
7	25	0.212	0.143	1.000
8	17	0.078	1.000	1.000
9	0	0.398	0.128	1.000
9	4	0.034	0.095	1.000
9	12	0.075	0.181	1.000
9	15	0.153	0.035	1.000
9	16	0.116	0.189	1.000
9	17	0.007	0.140	1.000
9	18	0.008	0.187	1.000
9	20	0.108	0.046	1.000
10	4	0.076	0.079	1.000
10	12	0.026	0.166	1.000
10	15	0.025	0.167	1.000
10	16	0.074	0.213	1.000
10	17	0.063	0.189	1.000
10	18	0.041	0.104	1.000
10	20	0.083	0.083	1.000
