#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.071	1.029	1.111	0.086	0.699	1.000	0.867
1	0.154	1.453	1.161	0.168	0.694	1.000	0.579
2	0.127	0.903	1.380	0.164	0.584	1.000	0.000
3	1.000	1.483	1.286	0.505	0.713	0.000	0.591
4	0.393	0.854	1.342	0.494	0.862	1.000	0.897
5	0.061	0.572	1.481	0.974	0.779	1.000	0.969
6	0.393	1.089	1.242	0.934	0.707	1.000	0.648
7	0.246	0.917	1.486	0.853	0.673	1.000	0.865
8	1.000	1.149	1.452	0.171	0.832	0.000	0.847
9	0.154	0.578	1.211	0.682	0.682	1.000	0.674
#From	To	chi[to]	beta[fr]	lambda
0	2	0.239	1.000	1.000
1	0	0.086	0.179	1.000
1	5	1.000	0.604	1.000
1	9	0.389	0.217	1.000
2	2	0.257	1.000	1.000
3	2	0.222	1.000	1.000
4	1	0.398	0.601	1.000
4	6	0.485	0.247	1.000
4	9	0.151	0.151	1.000
5	2	0.282	1.000	1.000
6	1	0.602	0.446	1.000
6	6	0.515	0.421	1.000
6	9	0.207	0.133	1.000
7	0	0.639	0.584	1.000
7	7	0.711	0.416	1.000
8	4	1.000	0.343	1.000
8	9	0.252	0.657	1.000
9	0	0.275	0.559	1.000
9	7	0.289	0.441	1.000
