#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.154	1.076	1.002	0.490	0.825	1.000	0.688
1	0.246	0.723	1.243	0.494	0.792	1.000	0.653
2	0.097	1.325	1.347	0.939	0.727	1.000	0.000
3	1.000	1.244	1.001	0.695	0.577	0.000	0.731
4	0.122	0.910	1.014	0.740	0.837	1.000	0.000
5	0.097	0.786	1.027	0.457	0.565	1.000	0.000
6	0.246	1.367	1.023	0.289	0.902	1.000	0.796
7	0.393	0.886	1.236	0.332	0.796	1.000	0.866
8	0.097	1.331	1.076	0.834	0.696	1.000	0.000
9	1.000	1.495	1.360	0.725	0.513	0.000	0.615
#From	To	chi[to]	beta[fr]	lambda
0	4	0.305	1.000	1.000
1	4	0.276	0.702	1.000
1	5	1.000	0.298	1.000
3	1	0.013	0.562	1.000
3	6	0.753	0.286	1.000
3	7	1.000	0.152	1.000
6	2	1.000	0.345	1.000
6	4	0.138	0.342	1.000
6	8	1.000	0.313	1.000
7	0	1.000	0.490	1.000
7	1	0.987	0.145	1.000
7	6	0.247	0.365	1.000
9	4	0.281	1.000	1.000
