#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.497	1.035	0.739	0.752	0.000	0.633
1	0.154	0.635	1.223	0.433	0.885	1.000	0.588
2	1.000	1.340	1.263	0.637	0.793	0.000	0.912
3	0.211	1.117	1.432	0.166	0.788	1.000	0.932
4	0.393	0.779	1.481	0.789	0.954	1.000	0.885
5	0.193	1.134	1.079	0.718	0.716	1.000	0.000
6	1.000	1.088	1.276	0.486	0.813	0.000	0.872
7	0.224	0.916	1.313	0.949	0.695	1.000	0.718
8	1.000	1.480	1.356	0.601	0.626	0.000	0.920
9	0.234	1.481	1.045	0.088	0.658	1.000	0.750
#From	To	chi[to]	beta[fr]	lambda
0	3	0.384	0.347	1.000
0	5	0.240	0.232	1.000
0	7	0.120	0.275	1.000
0	9	0.582	0.146	1.000
1	3	0.201	0.112	1.000
1	5	0.103	0.271	1.000
1	7	0.196	0.617	1.000
2	4	1.000	0.466	1.000
2	7	0.253	0.534	1.000
3	5	0.188	0.911	1.000
3	9	0.191	0.089	1.000
4	1	1.000	0.731	1.000
4	5	0.099	0.243	1.000
4	7	0.276	0.026	1.000
5	5	0.035	1.000	1.000
6	5	0.144	1.000	1.000
7	5	0.056	1.000	1.000
8	3	0.416	0.360	1.000
8	5	0.020	0.188	1.000
8	7	0.155	0.097	1.000
8	9	0.227	0.355	1.000
9	5	0.115	1.000	1.000
