#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	1.296	1.161	0.250	0.555	1.000	0.728
1	0.154	0.606	1.389	0.152	0.900	1.000	0.744
2	1.000	1.324	1.024	0.238	0.900	0.000	0.542
3	1.000	1.463	1.475	0.514	0.681	0.000	0.810
4	0.224	0.764	1.362	0.704	0.556	1.000	0.811
5	1.000	0.761	1.333	0.394	0.746	0.000	0.524
6	0.169	1.428	1.136	0.448	0.995	1.000	0.629
7	1.000	0.788	1.239	0.215	0.645	0.000	0.974
8	0.230	1.488	1.206	0.119	0.878	1.000	0.000
9	0.246	0.879	1.357	0.909	0.714	1.000	0.843
#From	To	chi[to]	beta[fr]	lambda
0	1	1.000	0.351	1.000
0	6	0.063	0.282	1.000
0	9	0.051	0.367	1.000
1	6	0.272	1.000	1.000
2	4	0.127	0.631	1.000
2	8	0.042	0.369	1.000
3	0	1.000	0.077	1.000
3	6	0.226	0.481	1.000
3	9	0.949	0.442	1.000
4	4	0.294	0.548	1.000
4	8	0.124	0.452	1.000
5	8	0.127	1.000	1.000
6	4	0.219	0.587	1.000
6	8	0.156	0.413	1.000
7	6	0.088	0.884	1.000
7	8	0.255	0.116	1.000
8	8	0.134	1.000	1.000
9	4	0.360	0.023	1.000
9	6	0.351	0.418	1.000
9	8	0.163	0.559	1.000
