#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.211	0.501	1.170	0.406	0.829	1.000	0.000
1	0.186	0.857	1.077	0.365	0.980	1.000	0.000
2	0.393	0.899	1.062	0.516	0.892	1.000	0.704
3	0.393	1.174	1.342	0.455	0.634	1.000	0.922
4	1.000	1.191	1.378	0.950	0.848	0.000	0.656
5	1.000	1.057	1.396	0.948	0.752	0.000	0.594
6	1.000	0.752	1.135	0.120	0.795	0.000	0.692
7	0.393	1.109	1.003	0.291	0.797	1.000	0.911
8	0.393	1.348	1.264	0.059	0.901	1.000	0.000
9	0.393	0.680	1.022	0.965	0.659	1.000	0.542
#From	To	chi[to]	beta[fr]	lambda
2	0	0.249	0.215	1.000
2	1	0.139	0.258	1.000
2	7	0.552	0.527	1.000
3	1	0.067	1.000	1.000
4	0	0.364	0.731	1.000
4	1	0.229	0.070	1.000
4	2	1.000	0.027	1.000
4	8	1.000	0.172	1.000
5	3	1.000	1.000	1.000
6	9	1.000	1.000	1.000
7	0	0.387	0.186	1.000
7	1	0.414	0.211	1.000
7	7	0.448	0.603	1.000
9	1	0.151	1.000	1.000
