#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.206	1.497	0.098	0.950	0.000	0.722
1	0.169	0.702	1.149	0.817	0.998	1.000	0.686
2	0.393	1.325	1.102	0.778	0.967	1.000	0.779
3	0.101	0.508	1.084	0.981	0.991	1.000	0.892
4	0.050	0.546	1.464	0.364	0.646	1.000	0.660
5	0.179	0.665	1.025	0.787	0.574	1.000	0.735
6	0.393	0.969	1.272	0.327	0.924	1.000	0.555
7	0.031	1.027	1.225	0.556	0.692	1.000	0.830
8	0.095	1.360	1.115	0.866	0.771	1.000	0.745
9	0.246	0.640	1.161	0.760	0.621	1.000	0.547
10	0.132	1.009	1.166	0.213	0.605	1.000	0.640
11	0.067	0.886	1.209	0.018	0.668	1.000	0.505
12	1.000	1.426	1.270	0.483	0.546	0.000	0.804
13	1.000	1.381	1.301	0.018	0.983	0.000	0.826
14	0.047	0.892	1.210	0.979	0.745	1.000	0.830
15	0.074	0.515	1.142	0.113	0.840	1.000	0.964
16	0.336	1.216	1.394	0.229	0.700	1.000	0.725
17	0.127	0.628	1.135	0.653	0.646	1.000	0.627
18	0.113	0.999	1.415	0.856	0.564	1.000	0.518
19	0.246	0.682	1.497	0.258	0.514	1.000	0.530
20	0.079	1.143	1.497	0.726	0.566	1.000	0.535
21	1.000	0.952	1.198	0.418	0.546	0.000	0.997
22	0.288	1.245	1.033	0.159	0.617	1.000	0.916
23	0.124	1.280	1.129	0.480	0.619	1.000	0.831
24	0.122	0.512	1.200	0.659	0.648	1.000	0.936
25	0.050	1.306	1.041	0.389	0.721	1.000	0.603
26	0.393	0.616	1.406	0.098	0.527	1.000	0.900
27	0.122	1.319	1.107	0.830	0.894	1.000	0.652
28	1.000	0.976	1.352	0.476	0.851	0.000	0.647
29	1.000	0.606	1.046	0.805	0.754	0.000	0.856
#From	To	chi[to]	beta[fr]	lambda
0	9	0.388	1.000	1.000
1	1	0.477	0.157	1.000
1	3	0.088	0.184	1.000
1	5	0.115	0.079	1.000
1	8	0.097	0.130	1.000
1	17	0.122	0.073	1.000
1	23	0.307	0.169	1.000
1	24	0.090	0.053	1.000
1	27	0.020	0.156	1.000
2	1	0.199	0.180	1.000
2	3	0.154	0.008	1.000
2	5	0.045	0.028	1.000
2	8	0.229	0.120	1.000
2	17	0.179	0.113	1.000
2	23	0.049	0.299	1.000
2	24	0.169	0.030	1.000
2	27	0.239	0.222	1.000
3	4	0.055	0.397	1.000
3	14	0.137	0.358	1.000
3	25	0.084	0.245	1.000
4	4	0.099	0.159	1.000
4	14	0.167	0.379	1.000
4	25	0.030	0.463	1.000
5	1	0.069	0.159	1.000
5	3	0.005	0.236	1.000
5	5	0.246	0.055	1.000
5	8	0.321	0.100	1.000
5	17	0.009	0.150	1.000
5	23	0.225	0.058	1.000
5	24	0.033	0.037	1.000
5	27	0.173	0.204	1.000
6	9	0.146	0.634	1.000
6	19	0.624	0.366	1.000
7	4	0.031	0.521	1.000
7	14	0.071	0.115	1.000
7	25	0.112	0.364	1.000
8	4	0.030	0.330	1.000
8	25	0.018	0.670	1.000
9	1	0.194	0.074	1.000
9	3	0.239	0.161	1.000
9	5	0.146	0.015	1.000
9	16	0.013	0.111	1.000
9	17	0.096	0.148	1.000
9	18	0.317	0.262	1.000
9	23	0.014	0.181	1.000
9	24	0.190	0.010	1.000
9	27	0.268	0.039	1.000
10	4	0.014	0.199	1.000
10	11	0.257	0.193	1.000
10	15	0.377	0.232	1.000
10	17	0.060	0.159	1.000
10	20	0.118	0.218	1.000
11	4	0.060	0.276	1.000
11	14	0.043	0.162	1.000
11	25	0.041	0.563	1.000
12	4	0.013	0.220	1.000
12	11	0.217	0.275	1.000
12	15	0.277	0.325	1.000
12	17	0.003	0.121	1.000
12	20	0.215	0.042	1.000
12	25	0.042	0.016	1.000
13	2	1.000	0.179	1.000
13	6	1.000	0.162	1.000
13	9	0.284	0.246	1.000
13	19	0.376	0.181	1.000
13	26	1.000	0.232	1.000
14	4	0.010	0.303	1.000
14	14	0.136	0.444	1.000
14	25	0.003	0.253	1.000
15	4	0.098	0.266	1.000
15	25	0.109	0.734	1.000
16	1	0.061	0.109	1.000
16	3	0.214	0.115	1.000
16	5	0.241	0.128	1.000
16	10	1.000	0.064	1.000
16	16	0.478	0.093	1.000
16	17	0.151	0.118	1.000
16	18	0.683	0.008	1.000
16	23	0.262	0.053	1.000
16	24	0.143	0.145	1.000
16	27	0.020	0.167	1.000
17	4	0.061	0.289	1.000
17	11	0.029	0.047	1.000
17	15	0.083	0.080	1.000
17	17	0.029	0.286	1.000
17	20	0.203	0.130	1.000
17	25	0.076	0.168	1.000
18	4	0.023	0.189	1.000
18	11	0.225	0.278	1.000
18	15	0.046	0.444	1.000
18	17	0.134	0.032	1.000
18	20	0.211	0.058	1.000
19	4	0.058	0.468	1.000
19	14	0.088	0.047	1.000
19	25	0.126	0.486	1.000
20	4	0.080	0.361	1.000
20	7	1.000	0.321	1.000
20	11	0.272	0.280	1.000
20	25	0.115	0.039	1.000
21	5	0.140	0.257	1.000
21	16	0.510	0.211	1.000
21	17	0.130	0.184	1.000
21	23	0.142	0.089	1.000
21	24	0.181	0.174	1.000
21	27	0.157	0.085	1.000
22	3	0.299	0.174	1.000
22	5	0.067	0.324	1.000
22	8	0.353	0.038	1.000
22	17	0.006	0.063	1.000
22	20	0.238	0.257	1.000
22	24	0.193	0.056	1.000
22	27	0.123	0.087	1.000
23	4	0.083	0.415	1.000
23	14	0.091	0.243	1.000
23	25	0.034	0.342	1.000
24	4	0.122	0.019	1.000
24	15	0.218	0.250	1.000
24	17	0.081	0.385	1.000
24	20	0.014	0.346	1.000
25	4	0.051	0.392	1.000
25	14	0.108	0.444	1.000
25	25	0.100	0.164	1.000
26	9	0.182	0.338	1.000
26	22	0.394	0.662	1.000
27	4	0.112	0.556	1.000
27	14	0.159	0.226	1.000
27	25	0.110	0.218	1.000
28	22	0.108	1.000	1.000
29	22	0.498	1.000	1.000
