#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.192	1.073	0.701	0.884	0.000	0.703
1	1.000	1.239	1.439	0.070	0.556	0.000	0.971
2	0.275	0.832	1.386	0.857	0.926	1.000	0.000
3	0.230	1.058	1.377	0.595	0.892	1.000	0.784
4	0.135	0.542	1.292	0.395	0.969	1.000	0.807
5	0.263	1.306	1.096	0.163	0.639	1.000	0.000
6	0.344	1.131	1.358	0.386	0.630	1.000	0.722
7	0.169	1.260	1.159	0.551	0.947	1.000	0.000
8	1.000	0.558	1.225	0.085	0.761	0.000	0.917
9	0.135	0.664	1.367	0.579	0.798	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	5	0.425	0.219	1.000
0	6	0.098	0.725	1.000
0	7	0.254	0.056	1.000
1	2	0.271	1.000	1.000
2	2	0.074	1.000	1.000
3	5	0.419	0.106	1.000
3	6	0.146	0.684	1.000
3	7	0.359	0.209	1.000
4	2	0.655	1.000	1.000
5	5	0.141	1.000	1.000
6	3	0.572	0.183	1.000
6	4	1.000	0.072	1.000
6	5	0.015	0.436	1.000
6	6	0.307	0.097	1.000
6	7	0.386	0.066	1.000
6	9	1.000	0.146	1.000
8	3	0.428	0.095	1.000
8	6	0.448	0.905	1.000
