#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.105	0.670	1.111	0.688	0.876	1.000	0.567
1	0.211	0.504	1.153	0.205	0.876	1.000	0.669
2	0.211	1.247	1.058	0.751	0.855	1.000	0.969
3	0.204	0.979	1.277	0.034	0.988	1.000	0.705
4	0.393	0.901	1.112	0.318	0.624	1.000	0.575
5	0.393	0.723	1.080	0.706	0.781	1.000	0.874
6	0.190	0.615	1.026	0.610	0.687	1.000	0.846
7	0.231	0.793	1.173	0.875	0.671	1.000	0.968
8	0.057	0.726	1.435	0.206	0.837	1.000	0.774
9	1.000	1.367	1.240	0.697	0.796	0.000	0.892
10	0.270	0.574	1.020	0.778	0.608	1.000	0.971
11	0.393	1.062	1.065	0.733	0.651	1.000	0.737
12	0.096	1.256	1.314	0.868	0.840	1.000	0.600
13	1.000	1.432	1.146	0.495	0.763	0.000	0.502
14	0.151	0.832	1.444	0.649	0.793	1.000	0.529
15	1.000	1.488	1.067	0.671	0.581	0.000	0.806
16	1.000	1.280	1.017	0.103	0.644	0.000	0.948
17	0.150	1.125	1.334	0.919	0.676	1.000	0.834
18	0.393	0.963	1.282	0.649	0.532	1.000	0.606
19	0.119	1.472	1.096	0.711	0.918	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	0	0.272	0.441	1.000
0	8	0.273	0.559	1.000
1	0	0.022	0.620	1.000
1	8	0.181	0.380	1.000
2	0	0.158	0.912	1.000
2	8	0.229	0.088	1.000
3	6	0.111	0.380	1.000
3	14	0.338	0.153	1.000
3	17	0.396	0.467	1.000
4	1	0.286	0.365	1.000
4	2	0.013	0.366	1.000
4	7	0.213	0.098	1.000
4	10	0.075	0.126	1.000
4	18	0.481	0.046	1.000
5	19	0.301	1.000	1.000
6	19	0.187	1.000	1.000
7	19	0.144	1.000	1.000
8	19	0.235	1.000	1.000
9	3	0.923	0.323	1.000
9	6	0.585	0.008	1.000
9	7	0.239	0.352	1.000
9	14	0.161	0.169	1.000
9	17	0.208	0.148	1.000
10	3	0.077	0.061	1.000
10	6	0.116	0.156	1.000
10	7	0.046	0.338	1.000
10	14	0.047	0.149	1.000
10	17	0.396	0.295	1.000
11	0	0.202	0.609	1.000
11	12	0.696	0.028	1.000
11	14	0.454	0.363	1.000
12	0	0.188	0.542	1.000
12	8	0.252	0.458	1.000
13	1	0.150	0.343	1.000
13	2	0.313	0.184	1.000
13	6	0.187	0.143	1.000
13	7	0.070	0.043	1.000
13	10	0.132	0.242	1.000
13	11	1.000	0.046	1.000
14	0	0.031	0.715	1.000
14	12	0.304	0.285	1.000
15	4	1.000	0.436	1.000
15	5	1.000	0.102	1.000
15	7	0.150	0.099	1.000
15	10	0.298	0.363	1.000
16	10	0.188	1.000	1.000
17	0	0.127	0.880	1.000
17	8	0.066	0.120	1.000
18	1	0.565	0.213	1.000
18	2	0.674	0.054	1.000
18	7	0.283	0.288	1.000
18	10	0.307	0.109	1.000
18	18	0.519	0.335	1.000
19	19	0.134	1.000	1.000
