#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.349	1.407	0.381	0.758	0.000	0.847
1	1.000	0.610	1.270	0.523	0.562	0.000	0.641
2	0.275	0.859	1.453	0.991	0.517	1.000	0.000
3	0.230	1.278	1.338	0.765	0.769	1.000	0.573
4	0.135	0.589	1.234	0.590	0.729	1.000	0.922
5	0.263	0.772	1.344	0.215	0.829	1.000	0.000
6	0.344	1.118	1.251	0.054	0.729	1.000	0.824
7	0.169	1.405	1.314	0.704	0.857	1.000	0.000
8	1.000	1.293	1.224	0.832	0.864	0.000	0.703
9	0.135	0.703	1.082	0.175	0.745	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	5	0.243	0.356	1.000
0	6	0.442	0.268	1.000
0	7	0.119	0.376	1.000
1	2	0.397	1.000	1.000
2	2	0.475	1.000	1.000
3	5	0.244	0.349	1.000
3	6	0.511	0.233	1.000
3	7	0.094	0.417	1.000
4	2	0.128	1.000	1.000
5	5	0.325	1.000	1.000
6	3	0.363	0.299	1.000
6	4	1.000	0.458	1.000
6	5	0.188	0.093	1.000
6	6	0.015	0.018	1.000
6	7	0.787	0.054	1.000
6	9	1.000	0.079	1.000
8	3	0.637	0.727	1.000
8	6	0.031	0.273	1.000
