#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.122	1.116	0.584	0.969	0.000	0.934
1	0.288	0.696	1.228	0.635	0.765	1.000	0.784
2	0.393	1.021	1.128	0.203	0.566	1.000	0.533
3	1.000	1.363	1.357	0.967	0.828	0.000	0.536
4	0.234	1.322	1.113	0.713	0.723	1.000	0.982
5	1.000	0.826	1.410	0.058	0.652	0.000	0.609
6	0.092	1.128	1.344	0.406	0.905	1.000	0.671
7	1.000	0.738	1.137	0.580	0.885	0.000	0.578
8	1.000	0.839	1.308	0.589	0.598	0.000	0.847
9	0.393	0.911	1.319	0.445	0.802	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	4	0.161	1.000	1.000
1	4	0.061	1.000	1.000
2	1	0.168	0.830	1.000
2	4	0.229	0.170	1.000
3	1	0.446	0.673	1.000
3	4	0.205	0.327	1.000
4	4	0.279	0.532	1.000
4	6	1.000	0.468	1.000
5	2	0.741	0.565	1.000
5	9	0.379	0.435	1.000
6	4	0.039	1.000	1.000
7	1	0.386	0.885	1.000
7	4	0.028	0.115	1.000
8	2	0.259	0.608	1.000
8	9	0.621	0.392	1.000
