#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	0.528	1.155	0.429	0.774	1.000	0.638
1	0.154	0.774	1.014	0.343	0.784	1.000	0.570
2	1.000	1.111	1.368	0.545	0.753	0.000	0.720
3	1.000	0.940	1.357	0.260	0.744	0.000	0.716
4	0.224	0.790	1.401	0.798	0.564	1.000	0.726
5	1.000	1.024	1.433	0.148	0.692	0.000	0.534
6	0.169	1.449	1.331	0.986	0.769	1.000	0.633
7	1.000	0.911	1.294	0.864	0.915	0.000	0.745
8	0.230	0.997	1.153	0.313	0.970	1.000	0.000
9	0.246	0.645	1.304	0.018	0.840	1.000	0.914
#From	To	chi[to]	beta[fr]	lambda
0	1	1.000	0.210	1.000
0	6	0.282	0.057	1.000
0	9	0.608	0.733	1.000
1	6	0.224	1.000	1.000
2	4	0.284	0.285	1.000
2	8	0.144	0.715	1.000
3	0	1.000	0.517	1.000
3	6	0.043	0.059	1.000
3	9	0.392	0.424	1.000
4	4	0.291	0.585	1.000
4	8	0.193	0.415	1.000
5	8	0.120	1.000	1.000
6	4	0.383	0.256	1.000
6	8	0.030	0.744	1.000
7	6	0.220	0.870	1.000
7	8	0.032	0.130	1.000
8	8	0.275	1.000	1.000
9	4	0.042	0.143	1.000
9	6	0.231	0.466	1.000
9	8	0.205	0.391	1.000
