#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	1.006	1.346	0.069	0.961	1.000	0.000
1	1.000	0.600	1.267	0.196	0.598	0.000	0.875
2	1.000	1.371	1.298	0.558	0.550	0.000	0.909
3	1.000	0.947	1.043	0.598	0.655	0.000	0.922
4	0.311	0.905	1.160	0.706	0.956	1.000	0.880
5	0.393	0.645	1.369	0.874	0.867	1.000	0.000
6	0.173	1.181	1.216	0.966	0.928	1.000	0.000
7	0.627	1.156	1.053	0.975	0.572	1.000	0.613
8	0.363	1.459	1.431	0.421	0.983	1.000	0.954
9	0.336	0.596	1.037	0.733	0.610	1.000	0.853
#From	To	chi[to]	beta[fr]	lambda
1	6	0.493	1.000	1.000
2	5	1.000	0.274	1.000
2	9	0.366	0.726	1.000
3	0	1.000	0.268	1.000
3	4	0.301	0.237	1.000
3	7	0.521	0.415	1.000
3	9	0.483	0.080	1.000
4	6	0.038	1.000	1.000
7	4	0.699	0.470	1.000
7	7	0.479	0.164	1.000
7	9	0.151	0.366	1.000
8	6	0.182	0.471	1.000
8	8	0.882	0.529	1.000
9	6	0.288	0.538	1.000
9	8	0.118	0.462	1.000
