#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.071	1.372	1.405	0.119	0.668	1.000	0.621
1	0.154	0.671	1.462	0.746	0.851	1.000	0.964
2	0.127	0.867	1.048	0.850	0.917	1.000	0.000
3	1.000	1.241	1.392	0.548	0.619	0.000	0.885
4	0.393	0.871	1.444	0.256	0.781	1.000	0.717
5	0.061	0.539	1.247	0.309	0.703	1.000	0.980
6	0.393	0.840	1.464	0.058	0.503	1.000	0.610
7	0.246	1.412	1.046	0.776	0.794	1.000	0.954
8	1.000	0.688	1.023	0.502	0.654	0.000	0.976
9	0.154	0.839	1.124	0.324	0.710	1.000	0.624
#From	To	chi[to]	beta[fr]	lambda
0	2	0.306	1.000	1.000
1	0	0.265	0.416	1.000
1	5	1.000	0.238	1.000
1	9	0.104	0.346	1.000
2	2	0.369	1.000	1.000
3	2	0.318	1.000	1.000
4	1	0.416	0.311	1.000
4	6	0.503	0.478	1.000
4	9	0.205	0.210	1.000
5	2	0.007	1.000	1.000
6	1	0.584	0.105	1.000
6	6	0.497	0.806	1.000
6	9	0.311	0.090	1.000
7	0	0.296	0.801	1.000
7	7	0.677	0.199	1.000
8	4	1.000	0.128	1.000
8	9	0.380	0.872	1.000
9	0	0.439	0.195	1.000
9	7	0.323	0.805	1.000
