#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.092	1.364	1.137	0.956	0.593	1.000	0.796
1	0.154	1.419	1.448	0.191	0.767	1.000	0.988
2	0.074	1.068	1.440	0.173	0.729	1.000	0.922
3	0.046	1.120	1.393	0.049	0.719	1.000	0.986
4	0.097	0.707	1.254	0.489	0.518	1.000	0.861
5	0.154	0.840	1.255	0.005	0.696	1.000	0.600
6	0.106	1.182	1.143	0.108	0.888	1.000	0.596
7	0.393	1.243	1.256	0.381	0.943	1.000	0.896
8	0.056	1.403	1.192	0.350	0.781	1.000	0.861
9	0.053	0.886	1.244	0.058	0.866	1.000	0.974
10	0.154	1.242	1.185	0.579	0.974	1.000	0.767
11	1.000	0.833	1.308	0.111	0.559	0.000	0.888
12	0.154	0.683	1.326	0.420	0.935	1.000	0.863
13	1.000	1.338	1.196	0.909	0.838	0.000	0.821
14	0.101	1.073	1.451	0.275	0.603	1.000	0.572
15	0.046	0.727	1.298	0.828	0.974	1.000	0.911
16	1.000	1.006	1.186	0.083	0.753	0.000	0.537
17	0.054	0.867	1.236	0.392	0.959	1.000	0.000
18	0.060	0.961	1.184	0.720	0.810	1.000	0.585
19	1.000	1.181	1.367	0.162	0.912	0.000	0.740
20	0.100	0.629	1.352	0.786	0.821	1.000	0.605
21	0.058	1.411	1.061	0.031	0.648	1.000	0.949
22	0.393	1.333	1.121	0.893	0.719	1.000	0.593
23	0.154	0.509	1.200	0.333	0.881	1.000	0.754
24	0.113	1.423	1.490	0.272	0.830	1.000	0.747
25	0.154	1.362	1.230	0.823	0.538	1.000	0.934
26	0.065	1.223	1.462	0.030	0.763	1.000	0.676
27	0.073	0.851	1.059	0.968	0.838	1.000	0.849
28	0.122	0.956	1.336	0.223	0.551	1.000	0.855
29	0.154	0.602	1.345	0.094	0.719	1.000	0.634
#From	To	chi[to]	beta[fr]	lambda
0	0	0.213	0.053	1.000
0	2	0.055	0.171	1.000
0	3	0.153	0.087	1.000
0	15	0.028	0.128	1.000
0	17	0.022	0.188	1.000
0	18	0.100	0.100	1.000
0	21	0.008	0.143	1.000
0	26	0.077	0.060	1.000
0	27	0.101	0.070	1.000
1	15	0.028	0.136	1.000
1	17	0.010	0.403	1.000
1	21	0.096	0.461	1.000
2	2	0.081	0.162	1.000
2	6	0.441	0.176	1.000
2	15	0.013	0.166	1.000
2	17	0.005	0.126	1.000
2	21	0.059	0.171	1.000
2	26	0.090	0.023	1.000
2	27	0.111	0.177	1.000
3	17	0.097	0.480	1.000
3	21	0.054	0.520	1.000
4	2	0.022	0.075	1.000
4	3	0.177	0.167	1.000
4	15	0.005	0.171	1.000
4	17	0.009	0.222	1.000
4	18	0.158	0.118	1.000
4	21	0.034	0.008	1.000
4	26	0.092	0.096	1.000
4	27	0.055	0.142	1.000
5	0	0.082	0.027	1.000
5	2	0.010	0.063	1.000
5	3	0.174	0.103	1.000
5	8	0.413	0.160	1.000
5	9	0.303	0.051	1.000
5	14	0.028	0.047	1.000
5	15	0.113	0.139	1.000
5	17	0.004	0.003	1.000
5	18	0.143	0.123	1.000
5	21	0.044	0.092	1.000
5	26	0.107	0.041	1.000
5	27	0.157	0.152	1.000
6	15	0.052	0.209	1.000
6	17	0.005	0.106	1.000
6	21	0.096	0.073	1.000
6	26	0.008	0.295	1.000
6	27	0.038	0.318	1.000
7	5	0.339	0.261	1.000
7	12	0.278	0.010	1.000
7	20	0.346	0.101	1.000
7	22	0.575	0.291	1.000
7	25	0.805	0.338	1.000
8	15	0.037	0.515	1.000
8	17	0.006	0.084	1.000
8	21	0.010	0.303	1.000
8	26	0.013	0.099	1.000
9	15	0.008	0.239	1.000
9	17	0.119	0.312	1.000
9	21	0.040	0.450	1.000
10	4	0.983	0.042	1.000
10	5	0.114	0.019	1.000
10	12	0.288	0.108	1.000
10	14	0.116	0.145	1.000
10	20	0.114	0.304	1.000
10	24	0.252	0.032	1.000
10	28	0.131	0.349	1.000
11	2	0.051	0.007	1.000
11	6	0.494	0.139	1.000
11	15	0.045	0.208	1.000
11	17	0.022	0.113	1.000
11	21	0.019	0.124	1.000
11	26	0.069	0.192	1.000
11	27	0.022	0.217	1.000
12	15	0.113	0.629	1.000
12	17	0.003	0.345	1.000
12	21	0.036	0.026	1.000
13	1	0.869	0.017	1.000
13	14	0.050	0.185	1.000
13	17	0.056	0.203	1.000
13	18	0.101	0.161	1.000
13	20	0.052	0.088	1.000
13	21	0.032	0.118	1.000
13	23	0.599	0.049	1.000
13	24	0.191	0.083	1.000
13	28	0.293	0.096	1.000
14	0	0.052	0.139	1.000
14	2	0.090	0.119	1.000
14	3	0.184	0.141	1.000
14	9	0.291	0.019	1.000
14	14	0.077	0.154	1.000
14	15	0.007	0.141	1.000
14	17	0.008	0.022	1.000
14	18	0.111	0.012	1.000
14	21	0.030	0.032	1.000
14	26	0.018	0.070	1.000
14	27	0.013	0.150	1.000
15	17	0.077	1.000	1.000
16	5	0.190	0.148	1.000
16	7	1.000	0.379	1.000
16	12	0.287	0.473	1.000
17	17	0.055	1.000	1.000
18	15	0.002	0.845	1.000
18	17	0.040	0.125	1.000
18	21	0.100	0.030	1.000
19	2	0.158	0.021	1.000
19	6	0.020	0.095	1.000
19	15	0.111	0.208	1.000
19	17	0.020	0.305	1.000
19	21	0.075	0.064	1.000
19	26	0.071	0.020	1.000
19	27	0.012	0.288	1.000
20	2	0.067	0.166	1.000
20	15	0.106	0.137	1.000
20	17	0.035	0.334	1.000
20	21	0.026	0.237	1.000
20	26	0.110	0.068	1.000
20	27	0.114	0.057	1.000
21	15	0.073	0.291	1.000
21	17	0.033	0.358	1.000
21	21	0.028	0.352	1.000
22	4	0.017	0.022	1.000
22	5	0.358	0.075	1.000
22	10	1.000	0.005	1.000
22	12	0.146	0.170	1.000
22	14	0.131	0.101	1.000
22	20	0.211	0.050	1.000
22	22	0.425	0.224	1.000
22	25	0.195	0.215	1.000
22	28	0.315	0.063	1.000
22	29	1.000	0.074	1.000
23	0	0.252	0.021	1.000
23	2	0.008	0.018	1.000
23	3	0.153	0.027	1.000
23	14	0.137	0.059	1.000
23	15	0.019	0.173	1.000
23	17	0.118	0.120	1.000
23	18	0.106	0.112	1.000
23	21	0.059	0.183	1.000
23	26	0.015	0.174	1.000
23	27	0.108	0.113	1.000
24	0	0.402	0.052	1.000
24	2	0.052	0.076	1.000
24	3	0.126	0.165	1.000
24	14	0.122	0.153	1.000
24	15	0.027	0.129	1.000
24	17	0.060	0.146	1.000
24	18	0.065	0.087	1.000
24	21	0.053	0.010	1.000
24	26	0.083	0.077	1.000
24	27	0.166	0.106	1.000
25	8	0.156	0.188	1.000
25	9	0.095	0.184	1.000
25	14	0.188	0.048	1.000
25	17	0.084	0.089	1.000
25	18	0.106	0.142	1.000
25	20	0.169	0.044	1.000
25	21	0.043	0.155	1.000
25	26	0.008	0.150	1.000
26	2	0.156	0.128	1.000
26	15	0.120	0.119	1.000
26	17	0.034	0.093	1.000
26	21	0.004	0.277	1.000
26	26	0.013	0.109	1.000
26	27	0.100	0.275	1.000
27	2	0.100	0.033	1.000
27	6	0.044	0.218	1.000
27	15	0.054	0.229	1.000
27	17	0.048	0.251	1.000
27	21	0.008	0.075	1.000
27	26	0.068	0.105	1.000
27	27	0.004	0.088	1.000
28	2	0.150	0.019	1.000
28	3	0.032	0.003	1.000
28	8	0.431	0.188	1.000
28	9	0.278	0.218	1.000
28	14	0.099	0.134	1.000
28	15	0.039	0.036	1.000
28	17	0.020	0.078	1.000
28	18	0.098	0.008	1.000
28	20	0.052	0.060	1.000
28	21	0.014	0.175	1.000
28	26	0.099	0.081	1.000
29	1	0.131	0.017	1.000
29	9	0.033	0.004	1.000
29	14	0.052	0.177	1.000
29	17	0.010	0.141	1.000
29	18	0.012	0.121	1.000
29	20	0.056	0.167	1.000
29	21	0.033	0.040	1.000
29	23	0.401	0.117	1.000
29	24	0.557	0.124	1.000
29	26	0.059	0.070	1.000
29	28	0.260	0.022	1.000
