#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.097	0.896	1.354	0.901	0.901	1.000	0.000
1	0.224	1.000	1.353	0.547	0.768	1.000	0.000
2	0.246	1.330	1.235	0.407	0.867	1.000	0.754
3	1.000	0.887	1.274	0.037	0.802	0.000	0.743
4	0.393	1.187	1.489	0.891	0.564	1.000	0.510
5	0.393	0.729	1.201	0.969	0.727	1.000	0.768
6	1.000	0.831	1.430	0.720	0.595	0.000	0.740
7	1.000	1.228	1.183	0.114	0.739	0.000	0.510
8	0.393	0.837	1.449	0.254	0.987	1.000	0.000
9	0.393	1.132	1.086	0.763	0.680	1.000	0.882
#From	To	chi[to]	beta[fr]	lambda
2	0	1.000	1.000	1.000
3	4	1.000	0.314	1.000
3	8	1.000	0.375	1.000
3	9	1.000	0.311	1.000
4	1	0.273	0.544	1.000
4	5	0.737	0.456	1.000
5	1	0.132	0.549	1.000
5	5	0.263	0.451	1.000
6	1	0.153	0.325	1.000
6	2	0.295	0.675	1.000
7	1	0.364	1.000	1.000
9	1	0.077	0.593	1.000
9	2	0.705	0.407	1.000
