#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.246	1.074	1.224	0.308	0.905	1.000	0.792
1	0.393	0.792	1.158	0.496	0.782	1.000	0.864
2	1.000	1.355	1.295	0.985	0.996	0.000	0.660
3	1.000	1.276	1.211	0.449	0.632	0.000	0.543
4	0.311	1.497	1.310	0.757	0.703	1.000	0.000
5	0.122	1.265	1.075	0.366	0.998	1.000	0.939
6	0.048	0.556	1.136	0.253	0.891	1.000	0.509
7	1.000	1.070	1.165	0.020	0.655	0.000	0.927
8	0.154	1.165	1.080	0.892	0.905	1.000	0.698
9	1.000	1.436	1.471	0.644	0.885	0.000	0.763
#From	To	chi[to]	beta[fr]	lambda
0	5	0.026	1.000	1.000
1	0	0.296	0.830	1.000
1	8	1.000	0.170	1.000
2	1	0.359	1.000	1.000
3	1	0.641	1.000	1.000
4	4	0.158	1.000	1.000
5	5	0.317	0.871	1.000
5	6	1.000	0.129	1.000
6	5	0.657	1.000	1.000
7	0	0.704	0.328	1.000
7	4	0.405	0.672	1.000
8	4	0.312	1.000	1.000
9	4	0.126	1.000	1.000
