#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.621	1.427	0.043	0.624	0.000	0.819
1	0.288	1.360	1.023	0.295	0.527	1.000	0.743
2	0.393	0.896	1.274	0.672	0.855	1.000	0.936
3	1.000	1.061	1.302	0.436	0.678	0.000	0.667
4	0.234	1.103	1.108	0.129	0.851	1.000	0.851
5	1.000	0.856	1.428	1.000	0.855	0.000	0.783
6	0.092	1.211	1.289	0.812	0.639	1.000	0.937
7	1.000	0.852	1.425	0.395	0.505	0.000	0.745
8	1.000	0.592	1.442	0.056	0.853	0.000	0.794
9	0.393	1.250	1.055	0.142	0.506	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	4	0.123	1.000	1.000
1	4	0.244	1.000	1.000
2	1	0.151	0.147	1.000
2	4	0.016	0.853	1.000
3	1	0.667	0.083	1.000
3	4	0.225	0.917	1.000
4	4	0.057	0.490	1.000
4	6	1.000	0.510	1.000
5	2	0.523	0.214	1.000
5	9	0.282	0.786	1.000
6	4	0.049	1.000	1.000
7	1	0.182	0.416	1.000
7	4	0.287	0.584	1.000
8	2	0.477	0.743	1.000
8	9	0.718	0.257	1.000
