#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.123	1.251	0.364	0.828	0.000	0.544
1	1.000	0.699	1.236	0.157	0.578	0.000	0.678
2	0.393	0.647	1.038	0.877	0.871	1.000	0.987
3	1.000	0.893	1.314	0.141	0.659	0.000	0.506
4	1.000	0.898	1.216	0.949	0.700	0.000	0.918
5	1.000	1.396	1.240	0.355	0.730	0.000	0.947
6	0.232	1.179	1.350	0.872	0.624	1.000	0.904
7	0.393	1.436	1.320	0.115	0.712	1.000	0.783
8	0.308	1.267	1.222	0.961	0.534	1.000	0.566
9	0.246	0.503	1.379	0.085	0.823	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	2	1.000	0.106	1.000
0	7	1.000	0.894	1.000
1	6	0.342	0.617	1.000
1	8	0.196	0.383	1.000
2	9	0.556	1.000	1.000
3	8	0.041	1.000	1.000
4	9	0.444	1.000	1.000
5	6	0.299	0.288	1.000
5	8	0.077	0.712	1.000
6	8	0.232	1.000	1.000
7	6	0.298	0.518	1.000
7	8	0.178	0.482	1.000
8	6	0.061	0.468	1.000
8	8	0.276	0.532	1.000
