#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.206	0.642	1.196	0.226	0.609	1.000	0.734
1	0.036	0.506	1.051	0.794	0.900	1.000	0.751
2	1.000	1.253	1.449	0.213	0.546	0.000	0.547
3	0.190	1.406	1.031	0.163	0.548	1.000	0.588
4	0.393	1.047	1.380	0.096	0.664	1.000	0.570
5	0.393	1.330	1.062	0.264	0.760	1.000	0.735
6	0.288	1.240	1.230	0.453	0.907	1.000	0.725
7	0.246	0.561	1.224	0.465	0.683	1.000	0.530
8	0.077	1.328	1.031	0.624	0.671	1.000	0.956
9	0.154	1.223	1.196	0.136	0.533	1.000	0.966
10	1.000	0.814	1.413	0.876	0.978	0.000	0.727
11	1.000	1.387	1.409	0.766	0.895	0.000	0.783
12	1.000	0.874	1.382	0.251	0.798	0.000	0.880
13	0.075	0.908	1.415	0.539	0.997	1.000	0.936
14	0.393	1.094	1.101	0.834	0.803	1.000	0.643
15	0.067	1.304	1.347	0.806	0.857	1.000	0.698
16	0.200	0.946	1.485	0.985	0.857	1.000	0.601
17	0.103	0.707	1.312	0.315	0.671	1.000	0.872
18	0.057	1.495	1.442	0.872	0.852	1.000	0.000
19	0.190	1.313	1.045	0.685	0.956	1.000	0.786
#From	To	chi[to]	beta[fr]	lambda
0	0	0.352	0.345	1.000
0	8	0.103	0.397	1.000
0	17	0.061	0.258	1.000
1	18	0.065	1.000	1.000
2	0	0.036	0.174	1.000
2	7	0.872	0.516	1.000
2	16	0.233	0.075	1.000
2	17	0.149	0.234	1.000
3	0	0.009	0.307	1.000
3	8	0.373	0.088	1.000
3	17	0.172	0.606	1.000
4	4	0.267	0.058	1.000
4	6	0.263	0.049	1.000
4	9	0.969	0.322	1.000
4	16	0.111	0.571	1.000
5	4	0.312	0.193	1.000
5	6	0.327	0.459	1.000
5	9	0.031	0.157	1.000
5	16	0.227	0.191	1.000
6	0	0.199	0.200	1.000
6	3	0.505	0.039	1.000
6	6	0.410	0.118	1.000
6	16	0.041	0.344	1.000
6	19	0.244	0.299	1.000
7	18	0.067	1.000	1.000
8	1	0.441	0.246	1.000
8	18	0.030	0.754	1.000
9	1	0.425	0.533	1.000
9	15	0.272	0.099	1.000
9	17	0.106	0.342	1.000
9	18	0.208	0.026	1.000
10	5	0.407	1.000	1.000
11	4	0.422	0.869	1.000
11	5	0.593	0.131	1.000
12	0	0.345	0.194	1.000
12	3	0.283	0.251	1.000
12	14	1.000	0.123	1.000
12	16	0.246	0.158	1.000
12	17	0.097	0.139	1.000
12	19	0.633	0.136	1.000
13	18	0.125	1.000	1.000
14	0	0.036	0.221	1.000
14	3	0.211	0.165	1.000
14	7	0.128	0.093	1.000
14	16	0.142	0.272	1.000
14	17	0.130	0.052	1.000
14	19	0.123	0.197	1.000
15	1	0.134	0.409	1.000
15	17	0.144	0.221	1.000
15	18	0.218	0.370	1.000
16	0	0.023	0.295	1.000
16	8	0.474	0.323	1.000
16	17	0.046	0.382	1.000
17	18	0.145	1.000	1.000
18	18	0.124	1.000	1.000
19	8	0.049	0.350	1.000
19	13	1.000	0.036	1.000
19	15	0.728	0.072	1.000
19	17	0.094	0.179	1.000
19	18	0.018	0.362	1.000
