#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.393	1.079	1.320	0.758	0.816	1.000	0.584
1	0.154	0.629	1.113	0.593	0.561	1.000	0.894
2	1.000	0.538	1.021	0.554	0.756	0.000	0.810
3	1.000	1.167	1.253	0.407	0.741	0.000	0.768
4	0.224	0.563	1.026	0.168	0.861	1.000	0.563
5	1.000	1.140	1.226	0.217	0.803	0.000	0.607
6	0.169	1.288	1.146	0.991	0.989	1.000	0.800
7	1.000	1.444	1.419	0.309	0.694	0.000	0.695
8	0.230	1.485	1.227	0.058	0.747	1.000	0.000
9	0.246	0.741	1.370	0.306	0.884	1.000	0.808
#From	To	chi[to]	beta[fr]	lambda
0	1	1.000	0.509	1.000
0	6	0.219	0.133	1.000
0	9	0.502	0.358	1.000
1	6	0.160	1.000	1.000
2	4	0.338	0.226	1.000
2	8	0.310	0.774	1.000
3	0	1.000	0.372	1.000
3	6	0.194	0.531	1.000
3	9	0.498	0.097	1.000
4	4	0.323	0.595	1.000
4	8	0.023	0.405	1.000
5	8	0.236	1.000	1.000
6	4	0.333	0.204	1.000
6	8	0.089	0.796	1.000
7	6	0.160	0.364	1.000
7	8	0.271	0.636	1.000
8	8	0.046	1.000	1.000
9	4	0.006	0.341	1.000
9	6	0.266	0.650	1.000
9	8	0.026	0.009	1.000
