#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.229	1.192	0.188	0.851	0.000	0.523
1	0.288	0.937	1.367	0.974	0.586	1.000	0.567
2	0.393	0.545	1.336	0.252	0.820	1.000	0.609
3	1.000	0.977	1.404	0.119	0.926	0.000	0.870
4	0.234	0.889	1.107	0.690	0.522	1.000	0.865
5	1.000	0.718	1.296	0.960	0.898	0.000	0.815
6	0.092	0.943	1.421	0.846	0.680	1.000	0.670
7	1.000	0.951	1.298	0.289	0.968	0.000	0.550
8	1.000	1.029	1.463	0.099	0.589	0.000	0.514
9	0.393	0.843	1.217	0.702	0.517	1.000	0.000
#From	To	chi[to]	beta[fr]	lambda
0	4	0.270	1.000	1.000
1	4	0.009	1.000	1.000
2	1	0.525	0.095	1.000
2	4	0.194	0.905	1.000
3	1	0.168	0.609	1.000
3	4	0.207	0.391	1.000
4	4	0.215	0.383	1.000
4	6	1.000	0.617	1.000
5	2	0.622	0.283	1.000
5	9	0.572	0.717	1.000
6	4	0.052	1.000	1.000
7	1	0.307	0.385	1.000
7	4	0.053	0.615	1.000
8	2	0.378	0.679	1.000
8	9	0.428	0.321	1.000
