#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.061	1.293	1.422	0.709	0.785	1.000	0.518
1	0.139	0.924	1.304	0.886	0.521	1.000	0.919
2	0.022	1.400	1.076	0.514	0.537	1.000	0.788
3	1.000	1.457	1.304	0.951	0.882	0.000	0.801
4	0.288	0.562	1.431	0.003	0.896	1.000	0.675
5	0.055	0.891	1.369	0.886	0.942	1.000	0.692
6	0.393	1.442	1.456	0.624	0.611	1.000	0.917
7	1.000	0.892	1.068	0.923	0.640	0.000	0.918
8	0.057	1.057	1.415	0.550	0.767	1.000	0.648
9	0.154	1.147	1.487	0.553	0.541	1.000	0.636
#From	To	chi[to]	beta[fr]	lambda
0	1	0.305	0.465	1.000
0	5	0.393	0.535	1.000
1	1	0.520	0.718	1.000
1	5	0.200	0.282	1.000
2	8	0.646	1.000	1.000
3	4	0.575	0.447	1.000
3	6	1.000	0.553	1.000
4	1	0.175	0.341	1.000
4	5	0.278	0.659	1.000
5	2	0.146	0.216	1.000
5	8	0.072	0.784	1.000
6	4	0.409	0.140	1.000
6	9	1.000	0.860	1.000
7	4	0.015	1.000	1.000
8	2	0.854	0.529	1.000
8	8	0.281	0.471	1.000
9	0	1.000	0.530	1.000
9	5	0.129	0.470	1.000
