#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.054	1.374	1.150	0.851	0.708	1.000	0.864
1	0.101	1.228	1.187	0.535	0.828	1.000	0.000
2	1.000	0.737	1.343	0.478	0.537	0.000	0.599
3	0.393	1.125	1.021	0.598	0.633	1.000	0.972
4	0.137	1.169	1.051	0.098	0.869	1.000	0.817
5	0.122	0.856	1.330	0.418	0.837	1.000	0.719
6	0.032	0.904	1.058	0.981	0.681	1.000	0.000
7	0.627	1.268	1.473	0.132	0.768	1.000	0.689
8	0.311	0.983	1.170	0.132	0.710	1.000	0.798
9	0.122	0.887	1.385	0.585	0.746	1.000	0.507
#From	To	chi[to]	beta[fr]	lambda
0	1	0.886	0.255	1.000
0	6	0.059	0.745	1.000
1	1	0.082	1.000	1.000
2	3	1.000	0.263	1.000
2	7	0.809	0.430	1.000
2	8	0.448	0.308	1.000
3	4	0.254	1.000	1.000
4	0	1.000	1.000	1.000
5	1	0.032	1.000	1.000
7	7	0.191	0.604	1.000
7	8	0.552	0.396	1.000
8	4	0.746	0.216	1.000
8	5	1.000	0.033	1.000
8	9	1.000	0.751	1.000
9	6	0.941	1.000	1.000
