#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.144	1.016	0.312	0.872	0.000	0.769
1	0.313	1.403	1.040	0.853	0.825	1.000	0.000
2	0.536	0.647	1.484	0.300	0.687	1.000	0.894
3	1.000	1.048	1.254	0.869	0.655	0.000	0.514
4	1.000	1.109	1.172	0.695	0.953	0.000	0.891
5	1.000	1.485	1.458	0.665	0.563	0.000	0.900
6	0.393	0.677	1.236	0.477	0.923	1.000	0.513
7	1.000	1.392	1.374	0.840	0.553	0.000	0.999
8	1.000	0.902	1.199	0.342	0.934	0.000	0.703
9	0.319	1.059	1.141	0.922	0.865	1.000	0.677
#From	To	chi[to]	beta[fr]	lambda
0	6	0.477	1.000	1.000
1	1	0.153	1.000	1.000
2	2	0.122	0.546	1.000
2	9	0.371	0.454	1.000
3	2	0.581	0.475	1.000
3	9	0.175	0.525	1.000
4	6	0.523	1.000	1.000
5	1	0.304	1.000	1.000
6	1	0.202	1.000	1.000
7	1	0.139	1.000	1.000
8	2	0.298	0.510	1.000
8	9	0.454	0.490	1.000
9	1	0.202	1.000	1.000
