#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.097	1.285	1.431	0.725	0.509	1.000	0.000
1	0.224	1.009	1.210	0.903	0.530	1.000	0.000
2	0.246	1.321	1.118	0.430	0.783	1.000	0.641
3	1.000	0.804	1.380	0.471	0.606	0.000	0.756
4	0.393	0.992	1.348	0.561	0.769	1.000	0.993
5	0.393	0.687	1.164	0.006	0.737	1.000	0.917
6	1.000	0.983	1.170	0.854	0.734	0.000	0.577
7	1.000	1.145	1.368	0.742	0.622	0.000	0.658
8	0.393	1.302	1.095	0.617	0.982	1.000	0.000
9	0.393	1.206	1.278	0.087	0.862	1.000	0.930
#From	To	chi[to]	beta[fr]	lambda
2	0	1.000	1.000	1.000
3	4	1.000	0.443	1.000
3	8	1.000	0.262	1.000
3	9	1.000	0.295	1.000
4	1	0.320	0.632	1.000
4	5	0.715	0.368	1.000
5	1	0.218	0.408	1.000
5	5	0.285	0.592	1.000
6	1	0.355	0.293	1.000
6	2	0.860	0.707	1.000
7	1	0.031	1.000	1.000
9	1	0.076	0.255	1.000
9	2	0.140	0.745	1.000
