#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.246	0.769	1.425	0.616	0.516	1.000	0.554
1	0.393	1.320	1.306	0.373	0.711	1.000	0.799
2	1.000	1.409	1.275	0.559	0.929	0.000	0.793
3	1.000	0.610	1.004	0.878	0.641	0.000	0.779
4	0.311	0.998	1.094	0.312	0.800	1.000	0.000
5	0.122	1.130	1.315	0.546	0.612	1.000	0.539
6	0.048	0.876	1.286	0.602	0.705	1.000	0.940
7	1.000	1.013	1.242	0.940	0.943	0.000	0.772
8	0.154	0.516	1.044	0.540	0.827	1.000	0.790
9	1.000	1.283	1.273	0.907	0.795	0.000	0.556
#From	To	chi[to]	beta[fr]	lambda
0	5	0.094	1.000	1.000
1	0	0.501	0.318	1.000
1	8	1.000	0.682	1.000
2	1	0.174	1.000	1.000
3	1	0.826	1.000	1.000
4	4	0.242	1.000	1.000
5	5	0.316	0.931	1.000
5	6	1.000	0.069	1.000
6	5	0.590	1.000	1.000
7	0	0.499	0.863	1.000
7	4	0.172	0.137	1.000
8	4	0.080	1.000	1.000
9	4	0.506	1.000	1.000
