#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	0.596	1.223	0.660	0.561	0.000	0.503
1	0.393	1.278	1.233	0.878	0.850	1.000	0.621
2	0.195	1.245	1.110	0.277	0.558	1.000	0.559
3	1.000	0.770	1.085	0.726	0.826	0.000	0.631
4	1.000	0.511	1.065	0.161	0.691	0.000	0.923
5	0.077	0.886	1.474	0.900	0.618	1.000	0.663
6	0.393	1.172	1.388	0.988	0.725	1.000	0.973
7	0.184	1.116	1.201	0.080	0.835	1.000	0.000
8	0.393	0.519	1.220	0.331	0.774	1.000	0.997
9	1.000	1.218	1.138	0.348	0.982	0.000	0.815
#From	To	chi[to]	beta[fr]	lambda
0	6	0.798	0.092	1.000
0	8	1.000	0.908	1.000
1	1	0.754	0.381	1.000
1	2	0.099	0.366	1.000
1	7	0.113	0.253	1.000
2	2	0.006	0.258	1.000
2	5	1.000	0.140	1.000
2	7	0.234	0.602	1.000
3	6	0.202	1.000	1.000
4	2	0.205	0.492	1.000
4	7	0.191	0.508	1.000
5	2	0.184	0.475	1.000
5	7	0.089	0.525	1.000
6	1	0.246	0.200	1.000
6	2	0.505	0.428	1.000
6	7	0.007	0.372	1.000
7	7	0.177	1.000	1.000
8	7	0.151	1.000	1.000
9	7	0.038	1.000	1.000
