#N	alpha	gamma	mu	phi	psi	rho	sigm
0	1.000	1.312	1.069	0.097	0.677	0.000	0.864
1	0.165	1.106	1.060	0.322	0.790	1.000	0.816
2	0.311	1.419	1.082	0.199	0.938	1.000	0.592
3	1.000	0.562	1.322	0.131	0.851	0.000	0.941
4	0.121	0.830	1.496	0.882	0.559	1.000	0.681
5	1.000	0.919	1.006	0.542	0.938	0.000	0.804
6	0.203	1.176	1.415	0.926	0.708	1.000	0.713
7	0.083	0.745	1.308	0.868	0.550	1.000	0.758
8	0.137	1.382	1.035	0.002	0.680	1.000	0.777
9	0.070	1.246	1.088	0.801	0.556	1.000	0.760
10	0.627	1.176	1.281	0.646	0.514	1.000	0.778
11	1.000	0.970	1.214	0.054	0.746	0.000	0.693
12	0.146	1.084	1.257	0.504	0.897	1.000	0.776
13	0.067	0.687	1.371	0.595	0.574	1.000	0.000
14	0.393	0.868	1.465	0.783	0.937	1.000	0.633
15	1.000	1.476	1.411	0.607	0.922	0.000	0.540
16	0.349	0.548	1.317	0.648	0.635	1.000	0.758
17	0.060	0.920	1.353	0.420	0.552	1.000	0.638
18	0.103	0.688	1.447	0.439	0.513	1.000	0.692
19	0.393	1.025	1.404	0.195	0.634	1.000	0.602
20	1.000	0.868	1.128	0.715	0.607	0.000	0.673
21	0.153	0.814	1.120	0.862	0.769	1.000	0.706
22	0.131	0.788	1.464	0.531	0.595	1.000	0.568
23	0.137	0.738	1.183	0.502	0.639	1.000	0.937
24	0.131	0.598	1.138	0.766	0.779	1.000	0.879
25	0.086	1.104	1.112	0.898	0.823	1.000	0.504
26	0.281	1.075	1.090	0.595	0.856	1.000	0.705
27	0.094	1.324	1.495	0.465	0.660	1.000	0.991
28	0.087	0.825	1.477	0.373	0.965	1.000	0.650
29	0.067	0.627	1.323	0.695	0.683	1.000	0.864
#From	To	chi[to]	beta[fr]	lambda
0	12	0.129	0.102	1.000
0	13	0.068	0.898	1.000
1	4	0.298	0.187	1.000
1	9	0.337	0.253	1.000
1	21	0.087	0.089	1.000
1	22	0.004	0.123	1.000
1	24	0.179	0.026	1.000
1	26	0.214	0.221	1.000
1	27	0.020	0.101	1.000
2	7	0.193	0.219	1.000
2	18	0.226	0.033	1.000
2	23	0.172	0.235	1.000
2	27	0.043	0.221	1.000
2	28	0.078	0.292	1.000
3	13	0.002	0.099	1.000
3	17	0.055	0.342	1.000
3	27	0.022	0.115	1.000
3	28	0.128	0.262	1.000
3	29	0.169	0.181	1.000
4	9	0.279	0.084	1.000
4	21	0.221	0.181	1.000
4	22	0.250	0.060	1.000
4	23	0.241	0.202	1.000
4	24	0.206	0.175	1.000
4	25	0.890	0.116	1.000
4	27	0.007	0.106	1.000
4	28	0.015	0.077	1.000
5	6	0.306	0.031	1.000
5	21	0.166	0.154	1.000
5	23	0.228	0.218	1.000
5	27	0.039	0.138	1.000
5	28	0.021	0.460	1.000
6	13	0.045	0.139	1.000
6	29	0.176	0.861	1.000
7	13	0.012	0.120	1.000
7	17	0.300	0.253	1.000
7	27	0.031	0.172	1.000
7	28	0.117	0.388	1.000
7	29	0.041	0.067	1.000
8	12	0.871	0.573	1.000
8	13	0.026	0.427	1.000
9	13	0.032	0.801	1.000
9	29	0.071	0.199	1.000
10	1	0.128	0.057	1.000
10	2	0.874	0.097	1.000
10	4	0.268	0.017	1.000
10	10	0.685	0.081	1.000
10	16	0.349	0.161	1.000
10	21	0.057	0.065	1.000
10	22	0.062	0.016	1.000
10	24	0.121	0.052	1.000
10	26	0.455	0.112	1.000
10	27	0.084	0.342	1.000
11	16	0.329	1.000	1.000
12	13	0.058	1.000	1.000
13	13	0.097	1.000	1.000
14	6	0.113	0.232	1.000
14	21	0.105	0.102	1.000
14	22	0.245	0.041	1.000
14	23	0.119	0.099	1.000
14	24	0.140	0.228	1.000
14	25	0.110	0.035	1.000
14	27	0.021	0.123	1.000
14	28	0.145	0.140	1.000
15	2	0.126	0.148	1.000
15	10	0.315	0.124	1.000
15	14	1.000	0.136	1.000
15	16	0.150	0.128	1.000
15	19	1.000	0.156	1.000
15	21	0.103	0.074	1.000
15	22	0.232	0.140	1.000
15	24	0.335	0.007	1.000
15	26	0.107	0.087	1.000
16	6	0.581	0.294	1.000
16	7	0.142	0.140	1.000
16	8	1.000	0.098	1.000
16	23	0.239	0.018	1.000
16	27	0.110	0.073	1.000
16	28	0.125	0.375	1.000
17	13	0.035	1.000	1.000
18	13	0.020	0.083	1.000
18	17	0.039	0.156	1.000
18	18	0.235	0.326	1.000
18	27	0.141	0.127	1.000
18	28	0.017	0.308	1.000
19	13	0.060	0.939	1.000
19	29	0.285	0.061	1.000
20	16	0.172	1.000	1.000
21	13	0.029	1.000	1.000
22	13	0.090	0.100	1.000
22	17	0.356	0.064	1.000
22	18	0.148	0.237	1.000
22	27	0.007	0.259	1.000
22	28	0.065	0.340	1.000
23	13	0.101	0.216	1.000
23	17	0.052	0.203	1.000
23	18	0.261	0.019	1.000
23	27	0.149	0.188	1.000
23	28	0.148	0.140	1.000
23	29	0.210	0.235	1.000
24	13	0.073	0.541	1.000
24	29	0.033	0.459	1.000
25	7	0.665	0.023	1.000
25	13	0.064	0.196	1.000
25	17	0.197	0.172	1.000
25	18	0.129	0.082	1.000
25	27	0.186	0.232	1.000
25	28	0.142	0.295	1.000
26	1	0.872	0.022	1.000
26	4	0.433	0.104	1.000
26	9	0.384	0.223	1.000
26	21	0.261	0.047	1.000
26	22	0.207	0.165	1.000
26	24	0.019	0.089	1.000
26	26	0.223	0.128	1.000
26	27	0.139	0.221	1.000
27	13	0.040	1.000	1.000
28	13	0.069	0.681	1.000
28	29	0.016	0.319	1.000
29	13	0.077	1.000	1.000
