#N	alpha	gamma	mu	phi	psi	rho	sigm
0	0.040	0.576	1.414	0.896	0.795	1.000	0.909
1	1.000	0.955	1.200	0.219	0.596	0.000	0.536
2	0.061	1.142	1.314	0.538	0.951	1.000	0.855
3	0.393	0.524	1.087	0.616	0.764	1.000	0.838
4	0.038	0.857	1.482	0.656	0.966	1.000	0.518
5	0.076	0.677	1.328	0.670	0.661	1.000	0.852
6	0.074	0.931	1.049	0.405	0.873	1.000	0.924
7	0.083	1.264	1.340	0.489	0.555	1.000	0.998
8	0.077	1.322	1.411	0.743	0.775	1.000	0.808
9	0.154	0.711	1.480	0.672	0.637	1.000	0.926
10	0.154	0.683	1.380	0.442	0.568	1.000	0.652
11	0.087	1.440	1.083	0.073	0.580	1.000	0.861
12	0.039	0.840	1.464	0.818	0.590	1.000	0.611
13	0.154	1.495	1.481	0.655	0.564	1.000	0.561
14	0.393	1.146	1.084	0.824	0.726	1.000	0.883
15	0.122	0.780	1.488	0.810	0.902	1.000	0.674
16	0.154	0.999	1.001	0.586	0.776	1.000	0.691
17	0.103	0.850	1.282	0.726	0.665	1.000	0.792
18	0.038	0.860	1.350	0.131	0.584	1.000	0.909
19	0.050	0.679	1.086	0.346	0.883	1.000	0.840
20	0.103	1.015	1.168	0.818	0.962	1.000	0.859
21	1.000	1.002	1.494	0.816	0.769	0.000	0.689
22	0.071	0.941	1.033	0.067	0.879	1.000	0.785
23	0.393	1.077	1.311	0.008	0.766	1.000	0.783
24	0.042	0.637	1.498	0.686	0.572	1.000	0.651
25	1.000	1.152	1.457	0.181	0.594	0.000	0.698
26	1.000	0.627	1.271	0.642	0.565	0.000	0.913
27	0.393	0.992	1.421	0.617	0.874	1.000	0.511
28	0.154	0.948	1.367	0.543	0.857	1.000	0.744
29	0.211	1.344	1.033	0.788	0.765	1.000	0.772
#From	To	chi[to]	beta[fr]	lambda
0	0	0.063	0.373	1.000
0	19	0.029	0.404	1.000
0	24	0.058	0.223	1.000
1	5	0.030	0.121	1.000
1	7	0.438	0.008	1.000
1	8	0.058	0.166	1.000
1	11	0.110	0.019	1.000
1	15	0.188	0.059	1.000
1	19	0.023	0.200	1.000
1	20	0.211	0.123	1.000
1	22	0.023	0.232	1.000
1	27	1.000	0.050	1.000
1	29	0.236	0.022	1.000
2	4	0.536	0.050	1.000
2	5	0.043	0.011	1.000
2	7	0.143	0.139	1.000
2	8	0.207	0.110	1.000
2	11	0.004	0.056	1.000
2	15	0.218	0.250	1.000
2	17	0.083	0.153	1.000
2	20	0.186	0.231	1.000
3	8	0.041	0.244	1.000
3	9	1.000	0.204	1.000
3	10	0.198	0.216	1.000
3	17	0.167	0.269	1.000
3	20	0.056	0.067	1.000
4	0	0.026	0.213	1.000
4	12	0.031	0.145	1.000
4	18	0.128	0.205	1.000
4	19	0.059	0.163	1.000
4	22	0.010	0.094	1.000
4	24	0.160	0.180	1.000
5	0	0.050	0.127	1.000
5	5	0.253	0.118	1.000
5	12	0.028	0.288	1.000
5	18	0.098	0.164	1.000
5	19	0.084	0.250	1.000
5	22	0.106	0.053	1.000
6	0	0.052	0.049	1.000
6	5	0.073	0.014	1.000
6	6	0.482	0.243	1.000
6	11	0.019	0.133	1.000
6	12	0.021	0.171	1.000
6	18	0.055	0.214	1.000
6	19	0.071	0.139	1.000
6	22	0.044	0.038	1.000
7	0	0.076	0.205	1.000
7	5	0.022	0.043	1.000
7	6	0.351	0.122	1.000
7	8	0.117	0.021	1.000
7	11	0.243	0.213	1.000
7	19	0.037	0.221	1.000
7	22	0.065	0.175	1.000
8	0	0.019	0.010	1.000
8	5	0.125	0.211	1.000
8	12	0.081	0.253	1.000
8	18	0.146	0.132	1.000
8	19	0.018	0.339	1.000
8	22	0.099	0.055	1.000
